ParkName,ParkCode,PeriodID,Season,Period_StartDate,Period_EndDate,EventID,Event_StartDate,Event_EndDate
Buffalo National River,BUFF,BUFFRMINVE2010Nov29,2010,11/29/2010 0:00:00,12/1/2010 0:00:00,BUFFRMINVE2010Dec01,12/1/2010 0:00:00,12/1/2010 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2012Jan04,1/4/2012 0:00:00,1/4/2012 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2012Jan10,1/10/2012 0:00:00,1/10/2012 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2012Jan09,1/9/2012 0:00:00,1/9/2012 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2012Jan18,1/18/2012 0:00:00,1/18/2012 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2011Dec28,12/28/2011 0:00:00,12/28/2011 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2011Dec07,12/7/2011 0:00:00,12/7/2011 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2011Dec01,12/1/2011 0:00:00,12/1/2011 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2012Jan06,1/6/2012 0:00:00,1/6/2012 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2011Dec01,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,BUFFRMINVE2012Jan05,1/5/2012 0:00:00,1/5/2012 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2013Nov21,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,BUFFRMINVE2014Jan29,1/29/2014 0:00:00,1/29/2014 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2013Nov21,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,BUFFRMINVE2014Jan30,1/30/2014 0:00:00,1/30/2014 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2013Nov21,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,BUFFRMINVE2014Jan24,1/24/2014 0:00:00,1/24/2014 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2013Nov21,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,BUFFRMINVE2014Jan23,1/23/2014 0:00:00,1/23/2014 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2013Nov21,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,BUFFRMINVE2014Feb19,2/19/2014 0:00:00,2/19/2014 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2013Nov21,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,BUFFRMINVE2013Nov21,11/21/2013 0:00:00,11/21/2013 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2013Nov21,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,BUFFRMINVE2013Dec04,12/4/2013 0:00:00,12/4/2013 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2013Nov21,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,BUFFRMINVE2014Jan31,1/31/2014 0:00:00,1/31/2014 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Dec07,12/7/2015 0:00:00,12/7/2015 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Dec08,12/8/2015 0:00:00,12/8/2015 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Dec09,12/9/2015 0:00:00,12/9/2015 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Dec17,12/17/2015 0:00:00,12/17/2015 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Dec18,12/18/2015 0:00:00,12/18/2015 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Nov23,11/23/2015 0:00:00,11/23/2015 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2015Nov23,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,BUFFRMINVE2015Nov24,11/24/2015 0:00:00,11/24/2015 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2017Nov15,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,BUFFRMINVE2017Nov15,11/15/2017 0:00:00,11/15/2017 0:00:00
Buffalo National River,BUFF,BUFFRMINVE2017Nov15,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,BUFFRMINVE2017Nov16,11/16/2017 0:00:00,11/16/2017 0:00:00
