TaxonCode,TSN,ToleranceValue,Phylum,Class,Order,Family,Subfamily,Genus,FunctionalFeedingGroupCode,Description
LIMOGIE,-999,,Arthropoda,Insecta,Diptera,Limoniidae,,Gonomyia/Idiocera/Ellipteroides,C,Collectors
LIMOHE,120094,4.70,Arthropoda,Insecta,Diptera,Limoniidae,,Hexatoma,Pr,Predators
LIMOLM,120164,3.00,Arthropoda,Insecta,Diptera,Limoniidae,,Limnophila,Pr,Predators
LIMOMO,120758,4.00,Arthropoda,Insecta,Diptera,Limoniidae,,Molophilus,Sh,Shredders
LIMOPS,120365,7.30,Arthropoda,Insecta,Diptera,Limoniidae,,Pseudolimnophila,C,Collectors
LYMN,76483,6.00,Mollusca,Gastropoda,,Lymnaeidae,,,Sc,Scrapers
LYMNGA,76497,6.00,Mollusca,Gastropoda,,Lymnaeidae,,Galba,Sc,Scrapers
LYMNPS,76528,7.20,Mollusca,Gastropoda,,Lymnaeidae,,Pseudosuccinea,Sc,Scrapers
MACRMA,101918,6.70,Arthropoda,Insecta,Odonata,Macromiidae,,Macromia,Pr,Predators
MEGA,115000,3.60,Arthropoda,Insecta,Megaloptera,,,,Pr,Predators
MOLAMO,116474,3.90,Arthropoda,Insecta,Trichoptera,Molannidae,,Molanna,Sh,Shredders
MOLAMO,116474,3.90,Arthropoda,Insecta,Trichoptera,Molannidae,,Molanna,C,Collectors
MUSC,150025,6.00,Arthropoda,Insecta,Diptera,Muscidae,,,Pr,Predators
MUSCLI,150730,7.00,Arthropoda,Insecta,Diptera,Muscidae,,Limnophora,Pr,Predators
NEMO,102517,2.00,Arthropoda,Insecta,Plecoptera,Nemouridae,,,Sh,Shredders
NEMO,102517,2.00,Arthropoda,Insecta,Plecoptera,Nemouridae,,,Sc,Scrapers
NEMOAM,102540,3.40,Arthropoda,Insecta,Plecoptera,Nemouridae,,Amphinemura,Sh,Shredders
NEMOPR,102584,6.10,Arthropoda,Insecta,Plecoptera,Nemouridae,,Prostoia,Sh,Shredders
NEMOPR,102584,6.10,Arthropoda,Insecta,Plecoptera,Nemouridae,,Prostoia,Sc,Scrapers
ODON,101593,,Arthropoda,Insecta,Odonata,,,,Pr,Predators
ODONMA,116514,0.00,Arthropoda,Insecta,Trichoptera,Odontoceridae,,Marilia,Sh,Shredders
PEDIDI,121027,0.00,Arthropoda,Insecta,Diptera,Pediciidae,,Dicranota,Pr,Predators
PERL,102914,1.00,Arthropoda,Insecta,Plecoptera,Perlidae,,,C,Collectors
PERL,102914,1.00,Arthropoda,Insecta,Plecoptera,Perlidae,,,Pr,Predators
PERLAC,102917,1.50,Arthropoda,Insecta,Plecoptera,Perlidae,,Acroneuria,Pr,Predators
PERLAG,102975,0.00,Arthropoda,Insecta,Plecoptera,Perlidae,,Agnetina,Pr,Predators
PERLNE,102942,1.60,Arthropoda,Insecta,Plecoptera,Perlidae,,Neoperla,Pr,Predators
PERLPA,102962,1.80,Arthropoda,Insecta,Plecoptera,Perlidae,,Paragnetina,Pr,Predators
PERLPE,103251,0.00,Arthropoda,Insecta,Plecoptera,Perlidae,,Perlesta,Pr,Predators
PERLPE,103251,0.00,Arthropoda,Insecta,Plecoptera,Perlidae,,Perlesta,C,Collectors
PERLPR,103244,0.00,Arthropoda,Insecta,Plecoptera,Perlidae,,Perlinella,Pr,Predators
PERO,102994,2.00,Arthropoda,Insecta,Plecoptera,Perlodidae,,,Pr,Predators
PEROCL,103118,4.80,Arthropoda,Insecta,Plecoptera,Perlodidae,,Clioperla,Pr,Predators
PEROHE,103084,0.40,Arthropoda,Insecta,Plecoptera,Perlodidae,,Helopicus,Pr,Predators
