ParkName,ParkCode,LocationID,PeriodID,EventID,RiffleNo,RiffleLength,Temperature,SpecificConductance,pH,DO,Turbidity,Note
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,2,27.80,7.50,173.60,7.89,10.86,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2005NOV29,BUFFRMINVE2005DEC01,3,20.30,7.70,175.00,6.91,10.87,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,1,99.00,7.00,214.50,7.66,13.34,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,2,29.50,7.10,216.70,7.50,12.55,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007JAN04,BUFFRMINVE2007FEB09,3,14.50,7.00,221.40,8.10,11.70,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007Nov26,BUFFRMINVE2007Nov30,1,39.00,9.70,165.40,7.76,9.85,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007Nov26,BUFFRMINVE2007Nov30,2,15.00,9.10,164.00,7.63,8.93,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2007Nov26,BUFFRMINVE2007Nov30,3,6.40,8.80,162.90,7.63,10.10,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2008Dec02,BUFFRMINVE2008Dec05,1,-999.00,7.50,121.30,8.39,14.54,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2008Dec02,BUFFRMINVE2008Dec05,2,-999.00,7.30,112.50,8.23,13.53,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2008Dec02,BUFFRMINVE2008Dec05,3,-999.00,6.80,103.50,7.96,12.65,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2009Dec07,BUFFRMINVE2010Jan11,1,-999.00,3.60,193.00,7.53,16.09,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2009Dec07,BUFFRMINVE2010Jan11,2,-999.00,2.90,194.80,7.39,15.48,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2009Dec07,BUFFRMINVE2010Jan11,3,-999.00,3.20,191.70,8.39,15.86,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan04,1,-999.00,7.00,171.50,7.97,12.15,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,BUFFRMINVE2011Dec01,BUFFRMINVE2012Jan04,2,-999.00,6.70,173.00,8.01,12.70,-999.00,
