geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
HOME_InvPla_22	40.288478	40.288478	-96.832951	-96.832951
HOME_InvPla_23	40.288549	40.288549	-96.832189	-96.832189
HOME_InvPla_24	40.288036	40.288036	-96.840707	-96.840707
HOME_InvPla_25	40.287907	40.287907	-96.839449	-96.839449
HOME_InvPla_26	40.287895	40.287895	-96.838392	-96.838392
HOME_InvPla_27	40.287883	40.287883	-96.837334	-96.837334
HOME_InvPla_30	40.287759	40.287759	-96.834238	-96.834238
HOME_InvPla_33	34.51247	34.51247	-93.092421	-93.092421
HOME_InvPla_34	40.287751	40.287751	-96.830419	-96.830419
HOME_InvPla_37	34.522682	34.522682	-93.080105	-93.080105
HOME_InvPla_39	40.287068	40.287068	-96.839478	-96.839478
HOME_InvPla_40	34.52973	34.52973	-93.07087	-93.07087
HOME_InvPla_41	40.286855	40.286855	-96.83742	-96.83742
HOME_InvPla_43	40.286932	40.286932	-96.835175	-96.835175
HOME_InvPla_44	40.286975	40.286975	-96.834099	-96.834099
HOME_InvPla_46	34.504815	34.504815	-93.095493	-93.095493
HOME_InvPla_47	34.507369	34.507369	-93.092415	-93.092415
HOME_InvPla_48	40.286812	40.286812	-96.830079	-96.830079
HOME_InvPla_45	34.502262	34.502262	-93.098571	-93.098571
HEHO_InvPla_44	41.66498	41.66498	-91.355468	-91.355468
HEHO_InvPla_50	41.664897	41.664897	-91.349066	-91.349066
PIPE_InvPla_58	44.014104	44.014104	-96.318606	-96.318606
PIPE_InvPla_59	44.013255	44.013255	-96.330825	-96.330825
PIPE_InvPla_60	44.013234	44.013234	-96.32957	-96.32957
PIPE_InvPla_61	44.013174	44.013174	-96.328246	-96.328246
PIPE_InvPla_66	44.013059	44.013059	-96.322641	-96.322641
PIPE_InvPla_69	44.013113	44.013113	-96.318584	-96.318584
PIPE_InvPla_73	44.012254	44.012254	-96.327107	-96.327107
PIPE_InvPla_74	44.012175	44.012175	-96.325912	-96.325912
PIPE_InvPla_80	44.012123	44.012123	-96.318548	-96.318548
PIPE_InvPla_82	44.011387	44.011387	-96.329649	-96.329649
PIPE_InvPla_83	44.011353	44.011353	-96.328301	-96.328301
PIPE_InvPla_84	44.011328	44.011328	-96.327304	-96.327304
HOME_InvPla_28	40.287818	40.287818	-96.836279	-96.836279
HOME_InvPla_31	40.28776	40.28776	-96.833105	-96.833105
HOME_InvPla_32	34.509917	34.509917	-93.095499	-93.095499
HOME_InvPla_35	34.517576	34.517576	-93.086263	-93.086263
HOME_InvPla_49	34.512474	34.512474	-93.086258	-93.086258
HOME_InvPla_42	34.55586	34.55586	-93.040057	-93.040057
HOME_InvPla_50	34.515028	34.515028	-93.083259	-93.083259
HOME_InvPla_52	34.52018	34.52018	-93.077024	-93.077024
HOME_InvPla_53	34.522685	34.522685	-93.073941	-93.073941
HOME_InvPla_54	34.525238	34.525238	-93.070861	-93.070861
HOME_InvPla_55	34.52779	34.52779	-93.067782	-93.067782
HOME_InvPla_56	34.530018	34.530018	-93.064568	-93.064568
HOME_InvPla_61	34.543044	34.543044	-93.049299	-93.049299
HOME_InvPla_65	40.286209	40.286209	-96.82745	-96.82745
HOME_InvPla_66	40.285816	40.285816	-96.840739	-96.840739
HOME_InvPla_67	34.557994	34.557994	-93.030816	-93.030816
HOME_InvPla_69	34.502269	34.502269	-93.092408	-93.092408
HOME_InvPla_71	34.507373	34.507373	-93.086253	-93.086253
HOME_InvPla_72	34.509926	34.509926	-93.083264	-93.083264
HOME_InvPla_73	34.512297	34.512297	-93.081738	-93.081738
HOME_InvPla_58	34.535224	34.535224	-93.058281	-93.058281
HOME_InvPla_59	34.537997	34.537997	-93.055464	-93.055464
HOME_InvPla_60	34.54054	34.54054	-93.052364	-93.052364
HOME_InvPla_70	34.50482	34.50482	-93.089331	-93.089331
HOME_InvPla_62	34.544675	34.544675	-93.04573	-93.04573
HOME_InvPla_64	40.285718	40.285718	-96.828313	-96.828313
HOME_InvPla_74	34.528343	34.528343	-93.062337	-93.062337
HOME_InvPla_76	34.533195	34.533195	-93.056433	-93.056433
HOME_InvPla_77	34.535805	34.535805	-93.052381	-93.052381
HOME_InvPla_78	40.285191	40.285191	-96.831074	-96.831074
HOME_InvPla_80	34.543106	34.543106	-93.043134	-93.043134
HOME_InvPla_75	40.285114	40.285114	-96.833447	-96.833447
HOME_InvPla_81	34.545658	34.545658	-93.040052	-93.040052
HOME_InvPla_82	34.548209	34.548209	-93.036971	-93.036971
EFMO_InvPla_92	43.094365	43.094365	-91.20593	-91.20593
EFMO_InvPla_134	43.091088	43.091088	-91.209124	-91.209124
EFMO_InvPla_111	43.092867	43.092867	-91.20874	-91.20874
EFMO_InvPla_179	43.085847	43.085847	-91.195331	-91.195331
EFMO_InvPla_182	43.085002	43.085002	-91.188051	-91.188051
EFMO_InvPla_183	43.084721	43.084721	-91.185625	-91.185625
