geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
1608	34.02625323	34.02625323	-91.349115	-91.349115
1609	34.02486066	34.02486066	-91.34319309	-91.34319309
1610	34.024004	34.024004	-91.3432101	-91.3432101
1611	34.02267863	34.02267863	-91.34364538	-91.34364538
1612	34.02079829	34.02079829	-91.34461818	-91.34461818
1613	34.01855	34.01855	-91.34651344	-91.34651344
1614	34.01720667	34.01720667	-91.34580873	-91.34580873
1615	34.0174794	34.0174794	-91.34587997	-91.34587997
1616	34.02216247	34.02216247	-91.344853	-91.344853
1617	34.02217122	34.02217122	-91.34563228	-91.34563228
1618	34.02645844	34.02645844	-91.3486333	-91.3486333
1619	34.02647188	34.02647188	-91.34859285	-91.34859285
1620	34.02684336	34.02684336	-91.34680575	-91.34680575
1621	34.02437154	34.02437154	-91.34320395	-91.34320395
1622	34.01786174	34.01786174	-91.34665158	-91.34665158
1623	34.01697461	34.01697461	-91.34546377	-91.34546377
1624	34.02278412	34.02278412	-91.34946531	-91.34946531
1625	34.02645237	34.02645237	-91.34864757	-91.34864757
1626	34.02653608	34.02653608	-91.34847147	-91.34847147
1627	34.02681536	34.02681536	-91.34737644	-91.34737644
1628	34.02683428	34.02683428	-91.34722643	-91.34722643
1629	34.02684936	34.02684936	-91.34680546	-91.34680546
1630	34.0268473	34.0268473	-91.34662036	-91.34662036
1631	34.02684734	34.02684734	-91.34634048	-91.34634048
1632	34.02684489	34.02684489	-91.34605866	-91.34605866
1633	34.02355714	34.02355714	-91.34319228	-91.34319228
1634	34.01813425	34.01813425	-91.34673308	-91.34673308
1635	34.01780941	34.01780941	-91.34660999	-91.34660999
1636	34.01699071	34.01699071	-91.34549914	-91.34549914
1637	34.02280708	34.02280708	-91.34950649	-91.34950649
1638	34.02637089	34.02637089	-91.34884127	-91.34884127
1639	34.02664784	34.02664784	-91.34813103	-91.34813103
1640	34.02685034	34.02685034	-91.34646872	-91.34646872
1641	34.02503436	34.02503436	-91.34318153	-91.34318153
1642	34.02366873	34.02366873	-91.3431947	-91.3431947
1643	34.01810268	34.01810268	-91.34673367	-91.34673367
1644	34.01781254	34.01781254	-91.34662018	-91.34662018
1645	34.01709359	34.01709359	-91.34562782	-91.34562782
1646	34.02221022	34.02221022	-91.34780179	-91.34780179
1647	34.02292156	34.02292156	-91.34983551	-91.34983551
1648	34.02684891	34.02684891	-91.34658626	-91.34658626
1649	34.02393371	34.02393371	-91.34320989	-91.34320989
1650	34.01741212	34.01741212	-91.34610339	-91.34610339
1651	34.02247884	34.02247884	-91.34859921	-91.34859921
1652	34.02509441	34.02509441	-91.34319349	-91.34319349
1653	34.02427998	34.02427998	-91.34320163	-91.34320163
1654	34.02355954	34.02355954	-91.3431923	-91.3431923
1655	34.0184759	34.0184759	-91.34660202	-91.34660202
1656	34.01686753	34.01686753	-91.34531644	-91.34531644
1657	34.0223032	34.0223032	-91.34808699	-91.34808699
1658	34.02406427	34.02406427	-91.34321097	-91.34321097
1659	34.01848852	34.01848852	-91.34658587	-91.34658587
1660	34.01694765	34.01694765	-91.34542209	-91.34542209
1661	36.44342925	36.44342925	-94.02764932	-94.02764932
1662	36.44324093	36.44324093	-94.02794363	-94.02794363
1663	36.44041357	36.44041357	-94.03354029	-94.03354029
1664	36.44027637	36.44027637	-94.03653261	-94.03653261
1665	36.44029616	36.44029616	-94.03741458	-94.03741458
1666	36.4410147	36.4410147	-94.0482073	-94.0482073
1667	36.44458034	36.44458034	-94.05234448	-94.05234448
1668	36.45188445	36.45188445	-94.05137884	-94.05137884
1669	36.452509	36.452509	-94.05110485	-94.05110485
1670	36.45338024	36.45338024	-94.05063999	-94.05063999
1671	36.44767375	36.44767375	-94.0249956	-94.0249956
1672	36.4475665	36.4475665	-94.02517421	-94.02517421
1673	36.44318739	36.44318739	-94.02801648	-94.02801648
1674	36.44264329	36.44264329	-94.02894309	-94.02894309
1675	36.44037429	36.44037429	-94.03380572	-94.03380572
1676	36.44027007	36.44027007	-94.03629203	-94.03629203
1677	36.44028693	36.44028693	-94.03682379	-94.03682379
1678	36.44377634	36.44377634	-94.0520574	-94.0520574
1679	36.45243608	36.45243608	-94.05113588	-94.05113588
1680	36.45357799	36.45357799	-94.05051148	-94.05051148
1681	36.45601673	36.45601673	-94.02233162	-94.02233162
1682	36.45567459	36.45567459	-94.02253739	-94.02253739
1683	36.44747824	36.44747824	-94.02528962	-94.02528962
1684	36.44332049	36.44332049	-94.02780522	-94.02780522
1685	36.44282304	36.44282304	-94.02865839	-94.02865839
1686	36.44026784	36.44026784	-94.03592564	-94.03592564
1687	36.44027227	36.44027227	-94.03621073	-94.03621073
1688	36.44028354	36.44028354	-94.0368738	-94.0368738
1689	36.45346846	36.45346846	-94.05058012	-94.05058012
1690	36.45412539	36.45412539	-94.04980088	-94.04980088
1691	36.45614929	36.45614929	-94.02222308	-94.02222308
1692	36.44744857	36.44744857	-94.02533713	-94.02533713
1693	36.44357881	36.44357881	-94.02736644	-94.02736644
1694	36.44339774	36.44339774	-94.02770172	-94.02770172
1695	36.44312199	36.44312199	-94.02814365	-94.02814365
1696	36.44028564	36.44028564	-94.03684024	-94.03684024
1697	36.44029584	36.44029584	-94.03745056	-94.03745056
1698	36.4402996	36.4402996	-94.03891017	-94.03891017
1699	36.44017214	36.44017214	-94.0396179	-94.0396179
1700	36.44275576	36.44275576	-94.05191526	-94.05191526
1701	36.44415805	36.44415805	-94.05223734	-94.05223734
1702	36.44496892	36.44496892	-94.05228103	-94.05228103
1703	36.44566351	36.44566351	-94.05201946	-94.05201946
1704	36.45324902	36.45324902	-94.05071167	-94.05071167
1705	36.45382016	36.45382016	-94.05028454	-94.05028454
1706	36.45444225	36.45444225	-94.04898371	-94.04898371
