ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,Season,StartDate,EndDate,RiffleNo,RiffleLength,Temperature,SpecificConductance,pH,DO,Turbidity,Note
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2008,12/2/2008 0:00:00,2/18/2009 0:00:00,1,-999.00,4.90,104.20,7.61,13.51,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2008,12/2/2008 0:00:00,2/18/2009 0:00:00,2,-999.00,5.80,154.90,8.16,14.04,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2008,12/2/2008 0:00:00,2/18/2009 0:00:00,3,-999.00,7.50,151.10,8.24,14.08,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,1,-999.00,5.50,205.80,7.65,12.86,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,2,-999.00,5.60,203.60,7.47,13.27,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,3,-999.00,5.70,203.30,7.46,13.28,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,1,-999.00,8.50,188.90,8.09,12.08,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,2,-999.00,8.70,184.70,8.28,12.60,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,3,-999.00,9.20,184.60,8.25,11.73,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,1,-999.00,8.00,180.40,8.26,12.15,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,2,-999.00,8.20,176.70,8.20,12.37,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,3,-999.00,8.40,177.20,8.17,12.54,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,1,-999.00,8.51,141.00,7.93,-999.00,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,2,-999.00,8.61,141.00,7.99,-999.00,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,3,-999.00,8.77,142.00,8.01,9.20,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,1,-999.00,9.60,217.30,8.02,9.19,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,2,-999.00,9.80,214.40,8.05,10.05,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,3,-999.00,10.00,215.00,7.96,10.25,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,1,-999.00,10.40,169.80,8.13,12.84,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,2,-999.00,10.40,166.20,8.14,13.01,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2019,11/4/2019 0:00:00,11/21/2019 0:00:00,3,-999.00,10.50,166.80,8.12,13.04,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,1,-999.00,11.90,228.10,8.09,11.93,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,2,-999.00,12.50,227.70,7.94,12.42,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,2021,11/1/2021 0:00:00,11/10/2021 0:00:00,3,-999.00,12.80,227.20,8.19,12.55,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,1,24.30,8.50,-999.00,7.85,11.29,-999.00,Spec Cond lacked data and was originally entered as -999.
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,2,27.80,7.50,173.60,7.89,10.86,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,3,20.30,7.70,175.00,6.91,10.87,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2006,1/4/2007 0:00:00,2/22/2007 0:00:00,1,99.00,7.00,214.50,7.66,13.34,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2006,1/4/2007 0:00:00,2/22/2007 0:00:00,2,29.50,7.10,216.70,7.50,12.55,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2006,1/4/2007 0:00:00,2/22/2007 0:00:00,3,14.50,7.00,221.40,8.10,11.70,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,1,39.00,9.70,165.40,7.76,9.85,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,2,15.00,9.10,164.00,7.63,8.93,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,3,6.40,8.80,162.90,7.63,10.10,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2008,12/2/2008 0:00:00,2/18/2009 0:00:00,1,-999.00,7.50,121.30,8.39,14.54,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2008,12/2/2008 0:00:00,2/18/2009 0:00:00,2,-999.00,7.30,112.50,8.23,13.53,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2008,12/2/2008 0:00:00,2/18/2009 0:00:00,3,-999.00,6.80,103.50,7.96,12.65,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,1,-999.00,3.60,193.00,7.53,16.09,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,2,-999.00,2.90,194.80,7.39,15.48,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2009,12/7/2009 0:00:00,1/21/2010 0:00:00,3,-999.00,3.20,191.70,8.39,15.86,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,1,-999.00,7.00,171.50,7.97,12.15,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,2,-999.00,6.70,173.00,8.01,12.70,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2011,12/1/2011 0:00:00,1/18/2012 0:00:00,3,-999.00,6.70,173.10,7.90,12.82,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,1,-999.00,12.90,189.30,8.06,11.85,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,2,-999.00,12.70,189.60,8.21,11.51,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2013,11/21/2013 0:00:00,2/19/2014 0:00:00,3,-999.00,12.40,189.70,8.20,11.65,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,1,-999.00,11.10,202.50,7.87,11.20,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,2,-999.00,11.00,203.90,7.81,11.09,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2015,11/23/2015 0:00:00,12/18/2015 0:00:00,3,-999.00,11.00,204.20,7.83,10.86,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,1,-999.00,14.60,230.90,8.22,10.04,-999.00,
Buffalo National River,BUFF,BUFFRMINVEBM04,04,Mainstem,,Buffalo River,,Searcy,69,BUFFM04,2017,11/15/2017 0:00:00,12/8/2017 0:00:00,2,-999.00,13.60,232.10,8.24,9.84,-999.00,
