ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,tbl_Locations_StreamName,TributaryName,County,StretchNumber,ReachID,PeriodID,Season,StartDate,EndDate,EventID,GaugeSiteNo,tlu_GaugeStations_StreamName,GaugeLocation,Discharge_cms,Units
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM02,02,Mainstem,,Current River,,Shannon,35,CURRM02,OZARRMINVE2018Nov07,2018,11/7/2018 0:00:00,11/20/2018 0:00:00,OZARRMINVE2018Nov08,7064533,Current River,Current River above Akers, MO ,7.62,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM02,02,Mainstem,,Current River,,Shannon,35,CURRM02,OZARRMINVE2020Nov17,2020,11/17/2020 0:00:00,1/14/2021 0:00:00,OZARRMINVE2021Jan11,7064533,Current River,Current River above Akers, MO ,9.97,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM02,02,Mainstem,,Current River,,Shannon,35,CURRM02,OZARRMINVE2022Oct25,2022,10/25/2022 0:00:00,11/4/2022 0:00:00,OZARRMINVE2022Oct27,7064533,Current River,Current River above Akers, MO ,7.36,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM03,03,Mainstem,,Current River,,Shannon,46,CURRM03,OZARRMINVE2009Nov06,2009,11/6/2009 0:00:00,12/3/2009 0:00:00,OZARRMINVE2009Nov12,7064533,Current River,Current River above Akers, MO ,22.22,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM03,03,Mainstem,,Current River,,Shannon,46,CURRM03,OZARRMINVE2012Nov13,2012,11/13/2012 0:00:00,12/5/2012 0:00:00,OZARRMINVE2012Nov28,7064533,Current River,Current River above Akers, MO ,4.81,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM03,03,Mainstem,,Current River,,Shannon,46,CURRM03,OZARRMINVE2014Nov05,2014,11/5/2014 0:00:00,11/19/2014 0:00:00,OZARRMINVE2014Nov12,7064533,Current River,Current River above Akers, MO ,4.44,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM03,03,Mainstem,,Current River,,Shannon,46,CURRM03,OZARRMINVE2016Nov01,2016,11/1/2016 0:00:00,11/10/2016 0:00:00,OZARRMINVE2016Nov03,7064533,Current River,Current River above Akers, MO ,6.94,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM03,03,Mainstem,,Current River,,Shannon,46,CURRM03,OZARRMINVE2018Nov07,2018,11/7/2018 0:00:00,11/20/2018 0:00:00,OZARRMINVE2018Nov13,7064533,Current River,Current River above Akers, MO ,7.62,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM03,03,Mainstem,,Current River,,Shannon,46,CURRM03,OZARRMINVE2020Nov17,2020,11/17/2020 0:00:00,1/14/2021 0:00:00,OZARRMINVE2020Dec11,7064533,Current River,Current River above Akers, MO ,9.83,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVECM03,03,Mainstem,,Current River,,Shannon,46,CURRM03,OZARRMINVE2022Oct25,2022,10/25/2022 0:00:00,11/4/2022 0:00:00,OZARRMINVE2022Oct27,7064533,Current River,Current River above Akers, MO ,7.22,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM01,01,Mainstem,,Jacks Fork,,Shannon,104,JACKM01,OZARRMINVE2012Nov13,2012,11/13/2012 0:00:00,12/5/2012 0:00:00,OZARRMINVE2012Dec04,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,0.96,meters
Ozark National Scenic Riverways - RIVERS,OZAR,OZARRMINVEJM01,01,Mainstem,,Jacks Fork,,Shannon,104,JACKM01,OZARRMINVE2014Nov05,2014,11/5/2014 0:00:00,11/19/2014 0:00:00,OZARRMINVE2014Nov05,7065200,Jacks Fork,Jacks Fork near Mountain View, MO ,1.73,meters
