TaxonCode,TSN,Phylum,Class,Order,Family,Subfamily,Genus,ToleranceValue,FunctionalFeedingGroupCode,FunctionalFeedingGroupDesc
CORIPA,103491,Arthropoda,Insecta,Hemiptera,Corixidae,,Palmacorixa,5,Pr,Predators
GERR,103801,Arthropoda,Insecta,Hemiptera,Gerridae,,,5,Pr,Predators
GERRRH,103802,Arthropoda,Insecta,Hemiptera,Gerridae,,Rheumatobates,,Pr,Predators
GERRGE,103829,Arthropoda,Insecta,Hemiptera,Gerridae,,Gerris,5,Pr,Predators
VELI,103885,Arthropoda,Insecta,Hemiptera,Veliidae,,,7,Pr,Predators
VELIRH,103886,Arthropoda,Insecta,Hemiptera,Veliidae,,Rhagovelia,5,Pr,Predators
VELIMI,103900,Arthropoda,Insecta,Hemiptera,Veliidae,,Microvelia,6.4,Pr,Predators
HEBRHE,103965,Arthropoda,Insecta,Hemiptera,Hebridae,,Hebrus,,Pr,Predators
HEBRME,103983,Arthropoda,Insecta,Hemiptera,Hebridae,,Merragata,,Pr,Predators
HEBRLI,103986,Arthropoda,Insecta,Hemiptera,Hebridae,,Lipogomphus,,Pr,Predators
HALIPE,111923,Arthropoda,Insecta,Coleoptera,Haliplidae,,Peltodytes,8.5,He,Herbivores
HALIPE,111923,Arthropoda,Insecta,Coleoptera,Haliplidae,,Peltodytes,8.5,C,Collectors
DYTIAG,111966,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Agabus,5,Pr,Predators
DYTIHG,112200,Arthropoda,Insecta,Coleoptera,Dytiscidae,,Hygrotus,,Pr,Predators
GYRIDI,112711,Arthropoda,Insecta,Coleoptera,Gyrinidae,,Dineutus,5.5,Pr,Predators
HYDNHY,112757,Arthropoda,Insecta,Coleoptera,Hydraenidae,,Hydraena,6,Sc,Scrapers
HYDNHY,112757,Arthropoda,Insecta,Coleoptera,Hydraenidae,,Hydraena,6,C,Collectors
HYDPBE,112812,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Berosus,8.6,He,Herbivores
HYDPBE,112812,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Berosus,8.6,C,Collectors
HYDPTR,112938,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Tropisternus,9.8,C,Collectors
HYDPTR,112938,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Tropisternus,9.8,Pr,Predators
HYDPEN,112973,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Enochrus,8.5,C,Collectors
HYDPHY,113196,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius,5,C,Collectors
HYDPHY,113196,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius,5,Pr,Predators
SCIR,113924,Arthropoda,Insecta,Coleoptera,Scirtidae,,,5,C,Collectors
SCIR,113924,Arthropoda,Insecta,Coleoptera,Scirtidae,,,5,Sh,Shredders
SCIR,113924,Arthropoda,Insecta,Coleoptera,Scirtidae,,,5,He,Herbivores
SCIR,113924,Arthropoda,Insecta,Coleoptera,Scirtidae,,,5,Sc,Scrapers
SCIRSC,113929,Arthropoda,Insecta,Coleoptera,Scirtidae,,Scirtes,,Sh,Shredders
DRYOHE,114006,Arthropoda,Insecta,Coleoptera,Dryopidae,,Helichus,5.4,C,Collectors
DRYOHE,114006,Arthropoda,Insecta,Coleoptera,Dryopidae,,Helichus,5.4,Sh,Shredders
PSEPPS,114070,Arthropoda,Insecta,Coleoptera,Psephenidae,,Psephenus,2.5,Sc,Scrapers
PSEPEC,114087,Arthropoda,Insecta,Coleoptera,Psephenidae,,Ectopria,4.3,Sc,Scrapers
ELMI,114093,Arthropoda,Insecta,Coleoptera,Elmidae,,,4,C,Collectors
ELMI,114093,Arthropoda,Insecta,Coleoptera,Elmidae,,,4,Sh,Shredders
ELMI,114093,Arthropoda,Insecta,Coleoptera,Elmidae,,,4,Sc,Scrapers
ELMIST,114095,Arthropoda,Insecta,Coleoptera,Elmidae,,Stenelmis,5.4,C,Collectors
ELMIST,114095,Arthropoda,Insecta,Coleoptera,Elmidae,,Stenelmis,5.4,Sc,Scrapers
ELMIDU,114126,Arthropoda,Insecta,Coleoptera,Elmidae,,Dubiraphia,6.4,C,Collectors
ELMIMI,114146,Arthropoda,Insecta,Coleoptera,Elmidae,,Microcylloepus,2.1,C,Collectors
ELMIOP,114177,Arthropoda,Insecta,Coleoptera,Elmidae,,Optioservus,2.7,C,Collectors
ELMIOP,114177,Arthropoda,Insecta,Coleoptera,Elmidae,,Optioservus,2.7,Sh,Shredders
ELMIAN,114193,Arthropoda,Insecta,Coleoptera,Elmidae,,Ancyronyx,6.4,C,Collectors
ELMIAN,114193,Arthropoda,Insecta,Coleoptera,Elmidae,,Ancyronyx,6.4,Sc,Scrapers
ELMIMA,114212,Arthropoda,Insecta,Coleoptera,Elmidae,,Macronychus,4.7,C,Collectors
MEGA,115000,Arthropoda,Insecta,Megaloptera,,,,3.6,Pr,Predators
SIALSI,115002,Arthropoda,Insecta,Megaloptera,Sialidae,,Sialis,7.4,Pr,Predators
CORYCH,115024,Arthropoda,Insecta,Megaloptera,Corydalidae,,Chauliodes,4,Pr,Predators
CORYNI,115028,Arthropoda,Insecta,Megaloptera,Corydalidae,,Nigronia,5.8,Pr,Predators
CORYCO,115033,Arthropoda,Insecta,Megaloptera,Corydalidae,,Corydalus,5.6,Pr,Predators
SISYCL,115086,Arthropoda,Insecta,Neuroptera,Sisyridae,,Climacia,6.5,Pr,Predators
SISYSI,115090,Arthropoda,Insecta,Neuroptera,Sisyridae,,Sisyra,,Pr,Predators
RHYARH,115097,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,,Rhyacophila,0,Pr,Predators
GLOSPR,115221,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Protoptila,2.8,Sc,Scrapers
PHILWO,115258,Arthropoda,Insecta,Trichoptera,Philopotamidae,,Wormaldia,0.4,F,Filterers
PHILCH,115273,Arthropoda,Insecta,Trichoptera,Philopotamidae,,Chimarra,2.8,F,Filterers
PSYHPS,115335,Arthropoda,Insecta,Trichoptera,Psychomyiidae,,Psychomyia,2.6,C,Collectors
PSYHPS,115335,Arthropoda,Insecta,Trichoptera,Psychomyiidae,,Psychomyia,2.6,Sc,Scrapers
POLYCE,115373,Arthropoda,Insecta,Trichoptera,Polycentropodidae,,Cernotina,1.2,Pr,Predators
PSYHPA,115388,Arthropoda,Insecta,Trichoptera,Psychomyiidae,,Paduniella,0,C,Collectors
