ParkName,ParkCode,LocationID,PeriodID,EventID,GaugeSiteNo,StreamName,GaugeLocation,Discharge_cms,Comments,Units
Ozark National Scenic Riverways,OZAR,OZARRMINVECM01,OZARRMINVE2012Nov13,OZARRMINVE2012Nov13,7064440,Current River,Current River at Montauk State Park. MO,2.29,Montauk,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM01,OZARRMINVE2014Nov05,OZARRMINVE2014Nov13,7064440,Current River,Current River at Montauk State Park. MO,1.4,Montauk (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM01,OZARRMINVE2016Nov01,OZARRMINVE2016Nov09,7064440,Current River,Current River at Montauk State Park. MO,2.38,Montauk (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM01,OZARRMINVE2018Nov07,OZARRMINVE2018Nov13,7064440,Current River,Current River at Montauk State Park. MO,3.23,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM01,OZARRMINVE2020Nov17,OZARRMINVE2020Nov17,7064440,Current River,Current River at Montauk State Park. MO,3.37,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM01,OZARRMINVE2022Oct25,OZARRMINVE2022Oct27,7064440,Current River,Current River at Montauk State Park. MO,2.83,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM02,OZARRMINVE2009Nov06,OZARRMINVE2009Dec02,7064533,Current River,Current River above Akers. MO,20,m3/sec; extrapolated based on Akers gage and acutal discharge in 2008,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM02,OZARRMINVE2012Nov13,OZARRMINVE2012Nov28,7064533,Current River,Current River above Akers. MO,4.81,Akers,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM02,OZARRMINVE2014Nov05,OZARRMINVE2014Nov13,7064533,Current River,Current River above Akers. MO,4.44,Akers (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM02,OZARRMINVE2016Nov01,OZARRMINVE2016Nov04,7064533,Current River,Current River above Akers. MO,6.94,Akers (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM02,OZARRMINVE2018Nov07,OZARRMINVE2018Nov08,7064533,Current River,Current River above Akers. MO,7.62,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM02,OZARRMINVE2020Nov17,OZARRMINVE2021Jan11,7064533,Current River,Current River above Akers. MO,9.97,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM02,OZARRMINVE2022Oct25,OZARRMINVE2022Oct27,7064533,Current River,Current River above Akers. MO,7.36,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM03,OZARRMINVE2009Nov06,OZARRMINVE2009Nov12,7064533,Current River,Current River above Akers. MO,22.22,Extrapolated; based on akers gage and actual discharge in 2008.,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM03,OZARRMINVE2012Nov13,OZARRMINVE2012Nov28,7064533,Current River,Current River above Akers. MO,4.81,Akers,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM03,OZARRMINVE2014Nov05,OZARRMINVE2014Nov12,7064533,Current River,Current River above Akers. MO,4.44,Akers (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM03,OZARRMINVE2016Nov01,OZARRMINVE2016Nov03,7064533,Current River,Current River above Akers. MO,6.94,Akers (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM03,OZARRMINVE2018Nov07,OZARRMINVE2018Nov13,7064533,Current River,Current River above Akers. MO,7.62,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM03,OZARRMINVE2020Nov17,OZARRMINVE2020Dec11,7064533,Current River,Current River above Akers. MO,9.83,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM03,OZARRMINVE2022Oct25,OZARRMINVE2022Oct27,7064533,Current River,Current River above Akers. MO,7.22,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM01,OZARRMINVE2012Nov13,OZARRMINVE2012Dec04,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,0.96,Mtn. View (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM01,OZARRMINVE2014Nov05,OZARRMINVE2014Nov05,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,1.73,Mtn. View (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM01,OZARRMINVE2016Nov01,OZARRMINVE2016Nov01,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,1.18,Mtn. View (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM01,OZARRMINVE2018Nov07,OZARRMINVE2018Nov07,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,5.29,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM01,OZARRMINVE2020Nov17,OZARRMINVE2020Dec08,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,2.23,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM01,OZARRMINVE2022Oct25,OZARRMINVE2022Oct25,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,1.8,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM02,OZARRMINVE2012Nov13,OZARRMINVE2012Dec04,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,0.96,Mtn. View (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM02,OZARRMINVE2014Nov05,OZARRMINVE2014Nov05,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,1.73,Mtn. View (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM02,OZARRMINVE2016Nov01,OZARRMINVE2016Nov01,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,1.18,Mtn. View (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM02,OZARRMINVE2018Nov07,OZARRMINVE2018Nov07,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,5.29,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM02,OZARRMINVE2020Nov17,OZARRMINVE2020Dec10,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,2.06,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM02,OZARRMINVE2022Oct25,OZARRMINVE2022Oct25,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,1.95,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM03,OZARRMINVE2012Nov13,OZARRMINVE2012Dec05,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,1.08,Mtn. View (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM03,OZARRMINVE2014Nov05,OZARRMINVE2014Nov06,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,1.84,Mtn. View (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM03,OZARRMINVE2016Nov01,OZARRMINVE2016Nov02,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,1.16,Mtn. View (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM03,OZARRMINVE2018Nov07,OZARRMINVE2018Nov07,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,3.82,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM03,OZARRMINVE2020Nov17,OZARRMINVE2020Nov30,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,4.5,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVEJM03,OZARRMINVE2022Oct25,OZARRMINVE2022Oct26,7065200,Jacks Fork,Jacks Fork near Mountain View. MO,2.02,,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM04,OZARRMINVE2006JAN03,OZARRMINVE2006JAN24,7067000,Current River,Current River at Van Buren. MO,28.03,cms,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM04,OZARRMINVE2006NOV14,OZARRMINVE2006NOV14,7067000,Current River,Current River at Van Buren. MO,45.31,cms,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM04,OZARRMINVE2007Nov01,OZARRMINVE2007Nov05,7067000,Current River,Current River at Van Buren. MO,20.73,Van Buren Gage,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM04,OZARRMINVE2008Nov05,OZARRMINVE2008Nov20,7067000,Current River,Current River at Van Buren. MO,25.32,VanBuren Gage=25.32,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM04,OZARRMINVE2009Nov06,OZARRMINVE2009Dec03,7067000,Current River,Current River at Van Buren. MO,45.59,m3/sec; Van Buren gage,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM04,OZARRMINVE2012Nov13,OZARRMINVE2012Nov27,7067000,Current River,Current River at Van Buren. MO,22.62,Van Buren,meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM04,OZARRMINVE2014Nov05,OZARRMINVE2014Nov19,7067000,Current River,Current River at Van Buren. MO,23.08,Van Buren (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM04,OZARRMINVE2016Nov01,OZARRMINVE2016Nov10,7067000,Current River,Current River at Van Buren. MO,30.44,Van Buren (cms),meters
Ozark National Scenic Riverways,OZAR,OZARRMINVECM04,OZARRMINVE2018Nov07,OZARRMINVE2018Nov19,7067000,Current River,Current River at Van Buren. MO,30.86,,meters
