ParkName,ParkCode,LocationID,PeriodID,EventID,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV29,14,13.00,16.00,0.06,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV29,15,14.00,12.00,0.01,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV29,16,15.00,2.00,-0.05,
Buffalo National River,BUFF,BUFFRMINVEBM02,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV29,17,16.00,1.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,1,0.00,0.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,2,0.50,3.00,0.08,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,3,1.00,9.00,0.30,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,4,1.50,9.00,0.34,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,5,2.00,12.00,0.49,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,6,2.50,12.00,0.55,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,7,3.00,15.00,0.45,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,8,3.50,12.00,0.56,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,9,4.00,18.00,0.44,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,10,4.50,18.00,0.44,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,11,5.00,18.00,0.35,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,12,5.50,18.00,0.24,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,13,6.00,18.00,0.41,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,14,6.50,21.00,0.46,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,15,7.00,24.00,0.60,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,16,7.50,26.00,0.52,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,17,8.00,24.00,0.39,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,18,8.50,21.00,0.11,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,19,9.00,0.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBM03,BUFFRMINVE2005NOV29,BUFFRMINVE2005NOV30,20,9.50,0.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBT25,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec03,1,0.00,0.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBT25,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec03,2,0.10,5.00,0.03,
Buffalo National River,BUFF,BUFFRMINVEBT25,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec03,3,0.20,6.00,0.01,
Buffalo National River,BUFF,BUFFRMINVEBT25,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec03,4,0.30,8.00,0.10,
Buffalo National River,BUFF,BUFFRMINVEBT25,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec03,5,0.40,10.00,0.09,
Buffalo National River,BUFF,BUFFRMINVEBT25,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec03,6,0.50,9.00,0.15,
Buffalo National River,BUFF,BUFFRMINVEBT25,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec03,7,0.60,10.00,0.22,
Buffalo National River,BUFF,BUFFRMINVEBT25,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec03,8,0.70,10.00,0.13,
Buffalo National River,BUFF,BUFFRMINVEBT25,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec03,9,0.80,8.00,0.24,
Buffalo National River,BUFF,BUFFRMINVEBT25,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec03,10,0.90,8.00,0.02,
Buffalo National River,BUFF,BUFFRMINVEBT25,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec03,11,1.00,6.00,0.01,
Buffalo National River,BUFF,BUFFRMINVEBT25,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec03,12,1.10,4.00,-0.03,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,1,0.00,0.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,2,0.50,14.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,3,1.00,18.00,0.01,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,4,1.50,16.00,0.20,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,5,2.00,20.00,0.18,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,6,2.50,12.00,0.07,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,7,3.00,20.00,0.37,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,8,3.50,20.00,0.16,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,9,4.00,18.00,0.16,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,10,4.50,18.00,0.00,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,11,5.00,15.00,0.13,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,12,5.50,15.00,0.06,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,13,6.00,17.00,0.13,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,14,6.50,22.00,0.07,
Buffalo National River,BUFF,BUFFRMINVEBM01,BUFFRMINVE2007Nov26,BUFFRMINVE2007Dec04,15,7.00,20.00,0.06,
