ParkName,ParkCode,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,Season,StartDate,EndDate,EventID,Units,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00:00,12/14/2005 0:00:00,BUFFRMINVE2005NOV30,meters,20,9.50,0.00,0.00,
Buffalo National River,BUFF,Tributary,,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec03,meters,1,0.00,0.00,0.00,
Buffalo National River,BUFF,Tributary,,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec03,meters,2,0.10,5.00,0.03,
Buffalo National River,BUFF,Tributary,,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec03,meters,3,0.20,6.00,0.01,
Buffalo National River,BUFF,Tributary,,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec03,meters,4,0.30,8.00,0.10,
Buffalo National River,BUFF,Tributary,,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec03,meters,5,0.40,10.00,0.09,
Buffalo National River,BUFF,Tributary,,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec03,meters,6,0.50,9.00,0.15,
Buffalo National River,BUFF,Tributary,,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec03,meters,7,0.60,10.00,0.22,
Buffalo National River,BUFF,Tributary,,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec03,meters,8,0.70,10.00,0.13,
Buffalo National River,BUFF,Tributary,,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec03,meters,9,0.80,8.00,0.24,
Buffalo National River,BUFF,Tributary,,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec03,meters,10,0.90,8.00,0.02,
Buffalo National River,BUFF,Tributary,,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec03,meters,11,1.00,6.00,0.01,
Buffalo National River,BUFF,Tributary,,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec03,meters,12,1.10,4.00,-0.03,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec04,meters,1,0.00,0.00,0.00,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec04,meters,2,0.50,14.00,0.00,
Buffalo National River,BUFF,Mainstem,,Buffalo River,,Newton,24,BUFFM01,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00:00,1/23/2008 0:00:00,BUFFRMINVE2007Dec04,meters,3,1.00,18.00,0.01,
