ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,SiteNumber,TransectNumber,SampleLocation,ChannelUnit,PoolForm,Width_Meters,Depth_Centimeters,Velocity_MetersPerSecond,Velocity_MetersPerSecond_flag,DominantWentworthSubstrate_Millimeters,WentworthMidpoint_Millimeters,EmbeddedCanopyCover,ECC_MidpointValue1_Percent,CanopyCover,ECC_MidpointValue2_Percent,Comment,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISHBM01,BUFFRMFISH2023May23,BUFFRMFISH2023May24,side channel,1,4,Left,Riffle-Run Complex,NA,11.9,11,0.07,A,256-362,309,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY30,main,1,4,Right,Pool,Lateral Pool,32,108,0,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY30,main,1,6,Left,Pool,Mid-Channel Pool,22,106,0,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY30,main,1,6,Middle,Pool,Mid-Channel Pool,22,96,0.02,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY30,main,1,8,Right,Pool,Mid-Channel Pool,33,160,0.00999999977648258,A,0.25-0.50 ,0.37,Very Heavy (>75%),87.5,Very Heavy (>75%),87.5,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2006MAY22,BUFFRMFISH2006MAY30,main,1,11,Left,Glide,NA,26,66,0.11,A,45-64,54.5,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2007May21,BUFFRMFish2007May23,main,1,4,Right,Pool,Lateral Pool,30,188,0.28,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2007May21,BUFFRMFish2007May23,main,1,5,Middle,Run/Race,NA,22,170,0.2,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2007May21,BUFFRMFish2007May23,main,1,7,Right,Pool,Mid-Channel Pool,31,154,0.07,A,<0.062 ,0.03,Very Heavy (>75%),87.5,Very Heavy (>75%),87.5,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2007May21,BUFFRMFish2007May23,main,1,9,Left,Pool,Bluff Pool,20,220,0.05,A,16-22.6,19.3,Heavy (40-75%),57.5,Heavy (40-75%),57.5,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2007May21,BUFFRMFish2007May23,main,1,10,Left,Pool,Bluff Pool,24,110,0.14,A,1024-4096,2560,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2007May21,BUFFRMFish2007May23,main,1,11,Left,Run/Race,NA,26,64,0.38,A,22.6-32,27.3,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2008May19,BUFFRMFish2008May22,main,1,1,Right,Riffle,NA,46,52,0.12,A,32-45,38.5,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2008May19,BUFFRMFish2008May22,main,1,2,Right,Glide,NA,38,46,0.1,A,22.6-32,27.3,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2008May19,BUFFRMFish2008May22,main,1,11,Left,Run/Race,NA,24,74,0.15,A,22.6-32,27.3,Moderate (10-40%),25,Moderate (10-40%),25,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2009May19,BUFFRMFish2009May28,main,1,3,Middle,Pool,Mid-Channel Pool,34,150,0.1,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2009May19,BUFFRMFish2009May28,main,1,4,Right,Pool,Mid-Channel Pool,31,91,0.07,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2009May19,BUFFRMFish2009May28,main,1,5,Middle,Pool,Mid-Channel Pool,28,153,0.44,A,>4096,10000,Absent (0%),0,Absent (0%),0,NA,Event,HumanObservation
