ParkName,ParkCode,LocationID,PeriodID,EventID,SiteNumber,Beginning_Ending,TimeSampled_hhmm_mil,WaterTemp_Celcius,AirTemp_Celcius,pH,SpecificConductance_MicrosiemensPerCentimeter,Conductivity_MicrosiemensPerCentimeter,DissolvedOxygen_MilligramsPerLiter,SecchiTube_Centimeters,dwcType,dwcBasisOfRecord
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN12,1,ENDING,15:00:00,28.1,-999,7.68,120.3,184.8,7.73,120,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2007May21,BUFFRMFish2007Jun20,1,BEGINNING,11:15:00,27.7,30.5,7.25,161.5,246.6,9.58,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2007May21,BUFFRMFish2007Jun20,1,ENDING,16:20:00,28.8,29.5,8.06,150.1,232.7,10.03,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2008May19,BUFFRMFish2008Jun05,1,BEGINNING,11:00:00,25.4,29,7.29,137.2,203.2,8.39,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2008May19,BUFFRMFish2008Jun05,1,ENDING,12:40:00,25.6,31.5,7.21,73.1,108.8,7.51,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2009May19,BUFFRMFish2009Jun09,1,BEGINNING,10:47:00,23.5,33,7.59,206.7,200.3,8.86,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2009May19,BUFFRMFish2009Jun09,1,ENDING,13:50:00,24.6,33,8.12,201.6,200.4,9.8,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2010May17,BUFFRMFish2010Jun02,1,BEGINNING,10:50:00,21,33,7.19,197.4,196.5,8.45,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2010May17,BUFFRMFish2010Jun02,1,ENDING,13:25:00,22,32,8.05,195,197.1,9.69,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2013May20,BUFFRMFish2013Jun18,1,BEGINNING,11:54:00,26.1,23,7.98,189.3,193.2,8.4,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2013May20,BUFFRMFish2013Jun18,1,ENDING,14:07:00,27.1,-999,8.21,187.9,195.3,9.43,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2017May24,BUFFRMFISH2017Jun14,1,BEGINNING,10:50:00,24.9,29.5,7.38,212.1,211.5,8.89,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2017May24,BUFFRMFISH2017Jun14,1,ENDING,13:04:00,25.7,29,7.42,210.4,213,9.75,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2019May22,BUFFRMFISH2019Jun18,1,BEGINNING,10:47:00,22.5,-999,7.74,201.4,191.5,8.6,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2019May22,BUFFRMFISH2019Jun18,1,ENDING,12:48:00,23.3,-999,8.01,199.8,193.3,10.14,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2023May23,BUFFRMFISH2023Jun07,1,BEGINNING,11:44:00,25.2,-999,8.14,241.9,242.9,8.62,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM05,BUFFRMFISH2023May23,BUFFRMFISH2023Jun07,1,ENDING,14:36:00,27.3,-999,8.25,239.9,250.2,9.38,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN05,1,BEGINNING,11:30:00,26.1,17,7.91,165.1,247.4,7.54,120,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2006MAY22,BUFFRMFISH2006JUN05,1,ENDING,17:00:00,28.2,-999,7.72,80.2,124.8,8.87,120,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2007May21,BUFFRMFish2007Jun04,1,BEGINNING,14:00:00,26.5,30,7.39,178.4,269,9.57,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2007May21,BUFFRMFish2007Jun04,1,ENDING,17:00:00,27.2,29,7.95,168,255.2,9.44,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2008May19,BUFFRMFish2008Jun18,1,BEGINNING,15:30:00,28.5,32,7.35,152.4,234.4,8.28,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2008May19,BUFFRMFish2008Jun18,1,ENDING,19:00:00,26.9,23,7.33,146.8,222.6,8.1,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2009May19,BUFFRMFish2009Jun10,1,BEGINNING,11:15:00,25.6,29,7.94,217.3,220.2,7.33,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2009May19,BUFFRMFish2009Jun10,1,ENDING,14:41:00,27.2,32.5,8.08,100,200,8.9,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2010May17,BUFFRMFish2010Jun09,1,BEGINNING,11:06:00,24.2,28,5.81,178.1,190,7.03,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2010May17,BUFFRMFish2010Jun09,1,ENDING,15:11:00,26.5,32,8.07,242.6,267.9,8.02,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2013May20,BUFFRMFish2013Jun11,1,BEGINNING,11:32:00,25.8,-999,8.27,179.5,182.4,6.51,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2013May20,BUFFRMFish2013Jun11,1,ENDING,14:53:00,27.7,36.5,8.36,178.7,188,8.86,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2017May24,BUFFRMFISH2017Jun21,1,BEGINNING,11:16:00,27.3,29,7.23,236.7,246.7,8.23,-999,Event,MachineObservation
Buffalo National River,BUFF,BUFFRMFISHBM06,BUFFRMFISH2017May24,BUFFRMFISH2017Jun21,1,ENDING,13:33:00,28.4,30,7.53,233.8,249.3,8.97,-999,Event,MachineObservation
