name	name_type	name_resolved	authority_system	authority_id
Micropterus punctulatus	scientific	Micropterus punctulatus	GBIF Backbone Taxonomy	5211245
Micropterus salmoides	scientific	Micropterus salmoides	GBIF Backbone Taxonomy	2394563
Notemigonus crysoleucas	scientific	Notemigonus crysoleucas	GBIF Backbone Taxonomy	2363714
Notropis volucellus	scientific	Notropis volucellus	GBIF Backbone Taxonomy	2362211
Perca flavescens	scientific	Perca flavescens	GBIF Backbone Taxonomy	2382004
Pimephales notatus	scientific	Pimephales notatus	GBIF Backbone Taxonomy	2367736
Pimephales promelas	scientific	Pimephales promelas	GBIF Backbone Taxonomy	2367742
Pomoxis annularis	scientific	Pomoxis annularis	GBIF Backbone Taxonomy	2394534
Pylodictis olivaris	scientific	Pylodictis olivaris	GBIF Backbone Taxonomy	2341077
Cyprinidae	scientific	Cyprinidae	GBIF Backbone Taxonomy	7336
Lepomis macrochirus x miniatus	scientific	Lepomis macrochirus x miniatus	GBIF Backbone Taxonomy	NA
Lepomis	scientific	Lepomis	GBIF Backbone Taxonomy	2394482
Luxilus	scientific	Luxilus	GBIF Backbone Taxonomy	2366958
NA	scientific	NA	NA	NA
Notropis	scientific	Notropis	GBIF Backbone Taxonomy	2362128
Noturus	scientific	Noturus	GBIF Backbone Taxonomy	2341007
Pimephales	scientific	Pimephales	GBIF Backbone Taxonomy	2367732
