Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2007Nov26	2007	11/26/2007 0:00:00	1/23/2008 0:00:00	BUFFRMINVE2007Dec04	2	L	8.30	4.00	0.30	15.00	2.00	0.00	0.00	2.00	3.00	2.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2007Nov26	2007	11/26/2007 0:00:00	1/23/2008 0:00:00	BUFFRMINVE2007Dec04	2	M	8.70	10.00	0.40	15.00	2.00	0.00	0.00	1.00	1.00	2.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2007Nov26	2007	11/26/2007 0:00:00	1/23/2008 0:00:00	BUFFRMINVE2007Dec04	2	R	11.30	16.00	0.36	15.00	2.00	0.00	0.00	2.00	2.00	2.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2007JAN04	2006	1/4/2007 0:00:00	2/22/2007 0:00:00	BUFFRMINVE2007JAN08	2	L	28.00	27.00	0.63	14.00	2.00	0.00	0.00	2.00	1.00	2.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2007JAN04	2006	1/4/2007 0:00:00	2/22/2007 0:00:00	BUFFRMINVE2007JAN08	2	M	36.00	50.00	1.10	15.00	2.00	0.00	1.00	2.00	1.00	2.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2007JAN04	2006	1/4/2007 0:00:00	2/22/2007 0:00:00	BUFFRMINVE2007JAN08	2	R	32.00	36.00	0.50	14.00	2.00	1.00	0.00	2.00	2.00	2.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2008Dec02	2008	12/2/2008 0:00:00	2/18/2009 0:00:00	BUFFRMINVE2008Dec04	2	L	-999.00	10.00	0.17	15.00	2.00	0.00	2.00	2.00	2.00	2.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2008Dec02	2008	12/2/2008 0:00:00	2/18/2009 0:00:00	BUFFRMINVE2008Dec04	2	M	-999.00	14.00	0.35	16.00	2.00	0.00	2.00	3.00	3.00	2.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2008Dec02	2008	12/2/2008 0:00:00	2/18/2009 0:00:00	BUFFRMINVE2008Dec04	2	R	-999.00	20.00	0.62	15.00	2.00	0.00	1.00	3.00	2.00	2.00	
Buffalo National River	BUFF	BUFFRMINVEBM01	01	Mainstem		Buffalo River		Newton	24	BUFFM01	BUFFRMINVE2009Dec07	2009	12/7/2009 0:00:00	1/21/2010 0:00:00	BUFFRMINVE2009Dec08	2	L	-999.00	26.00	0.22	15.00	2.00	0.00	1.00	2.00	2.00	2.00	
