TaxonCode,TSN,Phylum,Class,Order,Family,Subfamily,Genus,ToleranceValue,FunctionalFeedingGroupCode,Description
EPHE,101232,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,1,Sc,Scrapers
EPHEAT,101338,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Attenella,2.6,C,Collectors
EPHEEH,101526,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,Ephemera,1.1,C,Collectors
EPHEEH,101526,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,Ephemera,1.1,Pr,Predators
EPHEEP,101233,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Ephemerella,2.9,C,Collectors
EPHEEP,101233,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Ephemerella,2.9,Sc,Scrapers
EPHEEU,101324,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Eurylophella,2.1,C,Collectors
EPHEHE,101537,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,Hexagenia,4.7,C,Collectors
EPHESE,101395,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Serratella,2.1,C,Collectors
EPHETE,776926,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Teloganopsis,2.7,C,Collectors
EPHY,146893,Arthropoda,Insecta,Diptera,Ephydridae,,,6,Sh,Shredders
EPHY,146893,Arthropoda,Insecta,Diptera,Ephydridae,,,6,C,Collectors
ERPO,69438,Annelida,Clitellata,Arhynchobdellida,Erpobdellidae,,,7.8,Pa,Parasites
GAMMGA,93773,Arthropoda,Malacostraca,Amphipoda,Gammaridae,,Gammarus,6,C,Collectors
GERR,103801,Arthropoda,Insecta,Hemiptera,Gerridae,,,5,Pr,Predators
GERRAQ,717547,Arthropoda,Insecta,Hemiptera,Gerridae,,Aquarius,6.4,Pr,Predators
GERRGE,103829,Arthropoda,Insecta,Hemiptera,Gerridae,,Gerris,5,Pr,Predators
GERRRH,103802,Arthropoda,Insecta,Hemiptera,Gerridae,,Rheumatobates,,Pr,Predators
GLOSAG,117121,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Agapetus,0,Sc,Scrapers
GLOSAG,117121,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Agapetus,0,C,Collectors
GLOSGL,117159,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Glossosoma,1.5,Sc,Scrapers
GLOSGL,117159,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Glossosoma,1.5,C,Collectors
GLOSPR,115221,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,Protoptila,2.8,Sc,Scrapers
GLSS,69380,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,,,7,Pr,Predators
GOMP,101664,Arthropoda,Insecta,Odonata,Gomphidae,,,5.3,Pr,Predators
GOMPDR,101730,Arthropoda,Insecta,Odonata,Gomphidae,,Dromogomphus,6.3,Pr,Predators
GOMPGM,101777,Arthropoda,Insecta,Odonata,Gomphidae,,Gomphurus,6.2,Pr,Predators
GOMPHA,101734,Arthropoda,Insecta,Odonata,Gomphidae,,Hagenius,4,Pr,Predators
GOMPOP,101738,Arthropoda,Insecta,Odonata,Gomphidae,,Ophiogomphus,6.2,Pr,Predators
GOMPPH,-999,Arthropoda,Insecta,Odonata,Gomphidae,,Phanogomphus,,Pr,Predators
GOMPST,101761,Arthropoda,Insecta,Odonata,Gomphidae,,Stylogomphus,4.8,Pr,Predators
GYRIDI,112711,Arthropoda,Insecta,Coleoptera,Gyrinidae,,Dineutus,5.5,Pr,Predators
HALIPE,111923,Arthropoda,Insecta,Coleoptera,Haliplidae,,Peltodytes,8.5,He,Herbivores
HALIPE,111923,Arthropoda,Insecta,Coleoptera,Haliplidae,,Peltodytes,8.5,C,Collectors
HEBRHE,103965,Arthropoda,Insecta,Hemiptera,Hebridae,,Hebrus,,Pr,Predators
HEBRLI,103986,Arthropoda,Insecta,Hemiptera,Hebridae,,Lipogomphus,,Pr,Predators
HEBRME,103983,Arthropoda,Insecta,Hemiptera,Hebridae,,Merragata,,Pr,Predators
HELIHE,117016,Arthropoda,Insecta,Trichoptera,Helicopsychidae,,Helicopsyche,0,Sc,Scrapers
HEMI,103359,Arthropoda,Insecta,Hemiptera,,,,,Pr,Predators
HEPT,100504,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,,4,F,Filterers
HEPTEP,100626,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Epeorus,1.3,C,Collectors
HEPTHE,100602,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Heptagenia,2.4,Sc,Scrapers
HEPTHE,100602,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Heptagenia,2.4,C,Collectors
HEPTLE,100676,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Leucrocuta,1.2,C,Collectors
HEPTLE,100676,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Leucrocuta,1.2,Sc,Scrapers
HEPTMC,100744,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Macdunnoa,5,C,Collectors
HEPTMC,100744,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Macdunnoa,5,Sc,Scrapers
HEPTRH,100572,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Rhithrogena,0,C,Collectors
HEPTSE,100507,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Stenonema,2.3,Sc,Scrapers
HEPTSE,100507,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Stenonema,2.3,C,Collectors
HEPTST,100713,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,Stenacron,7.1,C,Collectors
HIR,69290,Annelida,Clitellata,Hirudinida,,,,10,C,Collectors
HYALHY,94025,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,,Hyalella,6.8,C,Collectors
HYDD,50844,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,,,,Pr,Predators
HYDDHY,50845,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,,Hydra,5,Pr,Predators
HYDNHY,112757,Arthropoda,Insecta,Coleoptera,Hydraenidae,,Hydraena,6,Sc,Scrapers
HYDNHY,112757,Arthropoda,Insecta,Coleoptera,Hydraenidae,,Hydraena,6,C,Collectors
HYDPBE,112812,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Berosus,8.6,He,Herbivores
HYDPBE,112812,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Berosus,8.6,C,Collectors
HYDPEN,112973,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Enochrus,8.5,C,Collectors
HYDPHL,-999,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius/Limnohydrobius,,C,Collectors
HYDPHL,-999,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius/Limnohydrobius,,Pr,Predators
HYDPHY,113196,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius,5,C,Collectors
HYDPHY,113196,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Hydrobius,5,Pr,Predators
HYDPTR,112938,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Tropisternus,9.8,C,Collectors
HYDPTR,112938,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,Tropisternus,9.8,Pr,Predators
HYDR,70493,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,,,7,Sc,Scrapers
HYDRPR,70505,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,,Probythinella,,Sc,Scrapers
HYDSCH,115408,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Cheumatopsyche,6.6,F,Filterers
HYDSDI,115399,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Diplectrona,2.2,F,Filterers
HYDSHY,115453,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Hydropsyche,8.1,F,Filterers
HYDSPO,115551,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,Potamyia,2.5,F,Filterers
HYDTDI,115826,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Dibusa,2,Sc,Scrapers
HYDTHY,115641,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Hydroptila,6.2,He,Herbivores
HYDTHY,115641,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Hydroptila,6.2,Sc,Scrapers
HYDTIT,115823,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Ithytrichia,4,Sc,Scrapers
HYDTNE,115833,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Neotrichia,3.6,Sc,Scrapers
HYDTOC,115714,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Ochrotrichia,7.2,C,Collectors
HYDTOC,115714,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Ochrotrichia,7.2,He,Herbivores
HYDTOX,115779,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Oxyethira,5.2,He,Herbivores
HYDTOX,115779,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Oxyethira,5.2,C,Collectors
HYDTST,115817,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,Stactobiella,2.75,Sh,Shredders
ISONIS,101041,Arthropoda,Insecta,Ephemeroptera,Isonychiidae,,Isonychia,3.8,F,Filterers
LEPCCE,116684,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Ceraclea,6.4,Sh,Shredders
LEPCCE,116684,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Ceraclea,6.4,C,Collectors
LEPCMY,116598,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Mystacides,3.5,C,Collectors
LEPCNE,116651,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Nectopsyche,4.2,C,Collectors
LEPCNE,116651,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Nectopsyche,4.2,Sh,Shredders
LEPCOE,116607,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Oecetis,5.7,Pr,Predators
LEPCOE,116607,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Oecetis,5.7,He,Herbivores
LEPCSE,116548,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Setodes,0.9,Pr,Predators
LEPCSE,116548,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Setodes,0.9,C,Collectors
LEPCTR,116565,Arthropoda,Insecta,Trichoptera,Leptoceridae,,Triaenodes,4.3,Sh,Shredders
LEPILE,116794,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,,Lepidostoma,1,Sh,Shredders
LEPTHA,101122,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Habrophlebiodes,0,C,Collectors
LEPTHA,101122,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Habrophlebiodes,0,Sc,Scrapers
LEPTLE,101148,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Leptophlebia,6.4,C,Collectors
LEPTPA,101187,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Paraleptophlebia,1.2,Sh,Shredders
LEPTPA,101187,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,,Paraleptophlebia,1.2,C,Collectors
LEPTTR,101405,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,,Tricorythodes,5.4,C,Collectors
LESTLE,102061,Arthropoda,Insecta,Odonata,Lestidae,,Lestes,6,Pr,Predators
LEUC,102840,Arthropoda,Insecta,Plecoptera,Leuctridae,,,0,Sh,Shredders
LEUCLE,102844,Arthropoda,Insecta,Plecoptera,Leuctridae,,Leuctra,0.7,Sh,Shredders
LEUCZE,102900,Arthropoda,Insecta,Plecoptera,Leuctridae,,Zealeuctra,0,Sh,Shredders
LIBE,101797,Arthropoda,Insecta,Odonata,Libellulidae,,,9,Pr,Predators
LIBELI,101893,Arthropoda,Insecta,Odonata,Libellulidae,,Libellula,9.8,Pr,Predators
LIMNIR,116382,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Ironoquia,7.3,C,Collectors
LIMNIR,116382,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Ironoquia,7.3,Sh,Shredders
LIMNPY,116409,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Pycnopsyche,2.5,C,Collectors
LIMNPY,116409,Arthropoda,Insecta,Trichoptera,Limnephilidae,,Pycnopsyche,2.5,Sh,Shredders
LIMO,-999,Arthropoda,Insecta,Diptera,Limoniidae,,,,Sh,Shredders
LIMOAN,119656,Arthropoda,Insecta,Diptera,Limoniidae,,Antocha,4.6,C,Collectors
LIMOCR,120488,Arthropoda,Insecta,Diptera,Limoniidae,,Cryptolabis,,Sh,Shredders
LIMOCR,120488,Arthropoda,Insecta,Diptera,Limoniidae,,Cryptolabis,,C,Collectors
LIMOGIE,-999,Arthropoda,Insecta,Diptera,Limoniidae,,Gonomyia/Idiocera/Ellipteroides,,C,Collectors
LIMOHE,120094,Arthropoda,Insecta,Diptera,Limoniidae,,Hexatoma,4.7,Pr,Predators
LIMOLM,120164,Arthropoda,Insecta,Diptera,Limoniidae,,Limnophila,3,Pr,Predators
LIMOMO,120758,Arthropoda,Insecta,Diptera,Limoniidae,,Molophilus,4,Sh,Shredders
LIMOPS,120365,Arthropoda,Insecta,Diptera,Limoniidae,,Pseudolimnophila,7.3,C,Collectors
LYMN,76483,Mollusca,Gastropoda,,Lymnaeidae,,,6,Sc,Scrapers
LYMNGA,76497,Mollusca,Gastropoda,,Lymnaeidae,,Galba,6,Sc,Scrapers
LYMNPS,76528,Mollusca,Gastropoda,,Lymnaeidae,,Pseudosuccinea,7.2,Sc,Scrapers
MACRMA,101918,Arthropoda,Insecta,Odonata,Macromiidae,,Macromia,6.7,Pr,Predators
MEGA,115000,Arthropoda,Insecta,Megaloptera,,,,3.6,Pr,Predators
MOLAMO,116474,Arthropoda,Insecta,Trichoptera,Molannidae,,Molanna,3.9,Sh,Shredders
MOLAMO,116474,Arthropoda,Insecta,Trichoptera,Molannidae,,Molanna,3.9,C,Collectors
MUSC,150025,Arthropoda,Insecta,Diptera,Muscidae,,,6,Pr,Predators
MUSCLI,150730,Arthropoda,Insecta,Diptera,Muscidae,,Limnophora,7,Pr,Predators
NEMO,102517,Arthropoda,Insecta,Plecoptera,Nemouridae,,,2,Sh,Shredders
NEMO,102517,Arthropoda,Insecta,Plecoptera,Nemouridae,,,2,Sc,Scrapers
NEMOAM,102540,Arthropoda,Insecta,Plecoptera,Nemouridae,,Amphinemura,3.4,Sh,Shredders
NEMOPR,102584,Arthropoda,Insecta,Plecoptera,Nemouridae,,Prostoia,6.1,Sh,Shredders
NEMOPR,102584,Arthropoda,Insecta,Plecoptera,Nemouridae,,Prostoia,6.1,Sc,Scrapers
ODON,101593,Arthropoda,Insecta,Odonata,,,,,Pr,Predators
ODONMA,116514,Arthropoda,Insecta,Trichoptera,Odontoceridae,,Marilia,0,Sh,Shredders
PEDIDI,121027,Arthropoda,Insecta,Diptera,Pediciidae,,Dicranota,0,Pr,Predators
PERL,102914,Arthropoda,Insecta,Plecoptera,Perlidae,,,1,C,Collectors
PERL,102914,Arthropoda,Insecta,Plecoptera,Perlidae,,,1,Pr,Predators
PERLAC,102917,Arthropoda,Insecta,Plecoptera,Perlidae,,Acroneuria,1.5,Pr,Predators
PERLAG,102975,Arthropoda,Insecta,Plecoptera,Perlidae,,Agnetina,0,Pr,Predators
PERLNE,102942,Arthropoda,Insecta,Plecoptera,Perlidae,,Neoperla,1.6,Pr,Predators
PERLPA,102962,Arthropoda,Insecta,Plecoptera,Perlidae,,Paragnetina,1.8,Pr,Predators
PERLPE,103251,Arthropoda,Insecta,Plecoptera,Perlidae,,Perlesta,0,Pr,Predators
PERLPE,103251,Arthropoda,Insecta,Plecoptera,Perlidae,,Perlesta,0,C,Collectors
PERLPR,103244,Arthropoda,Insecta,Plecoptera,Perlidae,,Perlinella,0,Pr,Predators
PERO,102994,Arthropoda,Insecta,Plecoptera,Perlodidae,,,2,Pr,Predators
PEROCL,103118,Arthropoda,Insecta,Plecoptera,Perlodidae,,Clioperla,4.8,Pr,Predators
PEROHE,103084,Arthropoda,Insecta,Plecoptera,Perlodidae,,Helopicus,0.4,Pr,Predators
PEROHY,103106,Arthropoda,Insecta,Plecoptera,Perlodidae,,Hydroperla,2.75,Pr,Predators
PEROIS,102995,Arthropoda,Insecta,Plecoptera,Perlodidae,,Isoperla,3.2,Pr,Predators
PEROIS,102995,Arthropoda,Insecta,Plecoptera,Perlodidae,,Isoperla,3.2,C,Collectors
PHILCH,115273,Arthropoda,Insecta,Trichoptera,Philopotamidae,,Chimarra,2.8,F,Filterers
