ParkName,ParkCode,LocationType,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,Season,StartDate,EndDate,EventID,Units,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC20,meters,6,5,48,0.26,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC20,meters,7,6,45,0.21,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC20,meters,8,7,46,0.22,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC20,meters,9,8,38,0.33,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC20,meters,10,9,34,0.26,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC20,meters,11,10,29,0.2,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC20,meters,12,11,22,0.16,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC20,meters,13,12,19,0.08,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC20,meters,14,13,10,0.08,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Searcy,73,BUFFM05,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005DEC20,meters,15,14,2,0,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,1,0,1,-0.05,tree roots creating on bank eddie,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,2,1,10,-0.02,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,3,2,26,0.01,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,4,3,44,0.03,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,5,4,52,0.07,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,6,5,60,0.09,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,7,6,62,0.13,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,8,7,60,0.09,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,9,8,56,0.14,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,10,9,50,0.11,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,11,10,42,0.06,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,12,11,34,0.07,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,13,12,30,0.07,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,14,13,16,0.06,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,15,14,12,0.01,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,16,15,2,-0.05,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,55,BUFFM02,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV29,meters,17,16,1,0,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,1,0,0,0,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,2,0.5,3,0.08,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,3,1,9,0.3,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,4,1.5,9,0.34,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,5,2,12,0.49,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,6,2.5,12,0.55,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,7,3,15,0.45,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,8,3.5,12,0.56,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,9,4,18,0.44,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,10,4.5,18,0.44,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,11,5,18,0.35,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,12,5.5,18,0.24,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,13,6,18,0.41,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,14,6.5,21,0.46,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,15,7,24,0.6,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,16,7.5,26,0.52,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,17,8,24,0.39,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,18,8.5,21,0.11,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,19,9,0,0,,
Buffalo National River,BUFF,Mainstem,Buffalo River,,Newton,59,BUFFM03,,,BUFFRMINVE2005NOV29,2005,11/29/2005 0:00,12/14/2005 0:00,BUFFRMINVE2005NOV30,meters,20,9.5,0,0,,
Buffalo National River,BUFF,Tributary,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec03,meters,1,0,0,0,,
Buffalo National River,BUFF,Tributary,Buffalo River,Panther Creek,Marion,238,BUFFT25,,,BUFFRMINVE2007Nov26,2007,11/26/2007 0:00,1/23/2008 0:00,BUFFRMINVE2007Dec03,meters,2,0.1,5,0.03,,
