Status,ReachID,ActiveDates,startUTMZone,XstartUTM,YstartUTM,startUTMDatum,XstartDD,YstartDD,startDDDatum,LocationID,dwcType,dwcBasisOfRecord
Active,CURRM02,2005 - Present,15N,637181.0806,4131048.527,EPSG:32615,-91.452,37.316,EPSG:4326,OZAR_RMFISH_CM02,Event,MachineObservation
Active,CURRM03,2005 - Present,15N,641996.4425,4126486.925,EPSG:32615,-91.398,37.274,EPSG:4326,OZAR_RMFISH_CM03,Event,MachineObservation
Active,CURRM04,2005 - Present,15N,662429.6441,4113308.256,EPSG:32615,-91.171,37.152,EPSG:4326,OZAR_RMFISH_CM04,Event,MachineObservation
Active,CURRT08,2006 - Present,15N,661594.1365,4110837.659,EPSG:32615,-91.181,37.13,EPSG:4326,OZAR_RMFISH_CT08,Event,MachineObservation
Active,CURRM05,2005 - Present,15N,665302.639,4111960.813,EPSG:32615,-91.139,37.139,EPSG:4326,OZAR_RMFISH_CM05,Event,MachineObservation
Retired,CURRT13,2006,15N,671989.4005,4100861.828,EPSG:32615,-91.066,37.038,EPSG:4326,OZAR_RMFISH_CT13,Event,MachineObservation
Active,CURRM06,2005 - Present,15N,684562.4998,4080539.148,EPSG:32615,-90.93,36.853,EPSG:4326,OZAR_RMFISH_CM06,Event,MachineObservation
Active,JACKM01,2005 - Present,15N,619816.8255,4101596.289,EPSG:32615,-91.652,37.053,EPSG:4326,OZAR_RMFISH_JM01,Event,MachineObservation
Active,JACKM02,2005 - Present,15N,627511.8508,4101892.188,EPSG:32615,-91.566,37.055,EPSG:4326,OZAR_RMFISH_JM02,Event,MachineObservation
Active,JACKM03,2007 - Present,15N,633316.3276,4107888.834,EPSG:32615,-91.5,37.108,EPSG:4326,OZAR_RMFISH_JM03,Event,MachineObservation
Retired,JACKT02,2007,15N,639752.3782,4114145.71,EPSG:32615,-91.426,37.163,EPSG:4326,OZAR_RMFISH_JT02,Event,MachineObservation
Retired,CURRT02,2007,15N,649050.0301,4118652.688,EPSG:32615,-91.32,37.202,EPSG:4326,OZAR_RMFISH_CT02,Event,MachineObservation
Retired,CURRT07,2008,15N,662134.44,4117120.853,EPSG:32615,-91.173,37.186,EPSG:4326,OZAR_RMFISH_CT07,Event,MachineObservation
Retired,CURRT09,2008,15N,666126.5485,4111991.976,EPSG:32615,-91.13,37.14,EPSG:4326,OZAR_RMFISH_CT09,Event,MachineObservation
Retired,CURRT11,2007,15N,673281.1965,4103745.201,EPSG:32615,-91.051,37.064,EPSG:4326,OZAR_RMFISH_CT11,Event,MachineObservation
Retired,JACKT01,2006,15N,627052.8886,4101821.908,EPSG:32615,-91.571,37.054,EPSG:4326,OZAR_RMFISH_JT01,Event,MachineObservation
Retired,CURRT01,2009,15N,621985.866,4144465.004,EPSG:32615,-91.621,37.439,EPSG:4326,OZAR_RMFISH_CT01,Event,MachineObservation
Retired,CURRT03,2009,15N,652268.7679,4117741.587,EPSG:32615,-91.284,37.194,EPSG:4326,OZAR_RMFISH_CT03,Event,MachineObservation
