ParkUnit,Plot,SubPlot,EventDate,CanopyType,CanopyHeight
Effigy Mounds,EFMO37,1,2017-05-24,Total,36
Effigy Mounds,EFMO37,1,2022-05-26,Hardwood,31.4
Effigy Mounds,EFMO38,1,2009-05-30,Hardwood,20.7
Effigy Mounds,EFMO38,1,2017-05-25,Hardwood,22.5
Effigy Mounds,EFMO38,1,2017-05-25,Total,22.5
Effigy Mounds,EFMO38,1,2022-05-24,Hardwood,15.9
Effigy Mounds,EFMO39,1,2009-05-31,Hardwood,29.2
Effigy Mounds,EFMO39,1,2017-05-23,Hardwood,22.5
Effigy Mounds,EFMO39,1,2017-05-23,Total,22.5
Effigy Mounds,EFMO39,1,2022-05-26,Hardwood,30.5
Effigy Mounds,EFMO4,1,2009-06-01,Hardwood,21.8
Effigy Mounds,EFMO4,1,2013-05-31,Hardwood,27
Effigy Mounds,EFMO4,1,2017-05-24,Hardwood,25
Effigy Mounds,EFMO4,1,2017-05-24,Total,25
Effigy Mounds,EFMO4,1,2022-05-26,Hardwood,22.4
Effigy Mounds,EFMO40,1,2009-05-31,Hardwood,30.6
Effigy Mounds,EFMO40,1,2017-05-23,Hardwood,29
Effigy Mounds,EFMO40,1,2017-05-23,Total,29
Effigy Mounds,EFMO40,1,2022-05-26,Hardwood,29.3
Effigy Mounds,EFMO41,1,2009-05-30,Hardwood,21.1
Effigy Mounds,EFMO41,1,2017-05-25,Hardwood,35.5
Effigy Mounds,EFMO41,1,2017-05-25,Total,35.5
Effigy Mounds,EFMO41,1,2022-05-26,Hardwood,26.8
Effigy Mounds,EFMO42,1,2009-05-29,Hardwood,29.9
Effigy Mounds,EFMO42,1,2009-05-30,Hardwood,30.7
Effigy Mounds,EFMO42,1,2013-06-01,Hardwood,26.5
Effigy Mounds,EFMO42,1,2017-05-25,Hardwood,20
Effigy Mounds,EFMO42,1,2017-05-25,Total,20
Effigy Mounds,EFMO42,1,2022-05-24,Hardwood,25
Effigy Mounds,EFMO43,1,2009-05-30,Hardwood,25.8
Effigy Mounds,EFMO43,1,2013-06-02,Hardwood,26
Effigy Mounds,EFMO43,1,2017-05-25,Hardwood,35
Effigy Mounds,EFMO43,1,2017-05-25,Total,35
Effigy Mounds,EFMO43,1,2022-05-24,Hardwood,35.6
Effigy Mounds,EFMO44,1,2009-05-30,Hardwood,24.5
Effigy Mounds,EFMO44,1,2013-06-02,Hardwood,11
Effigy Mounds,EFMO44,1,2017-05-25,Hardwood,15.5
Effigy Mounds,EFMO44,1,2017-05-25,Total,15.5
Effigy Mounds,EFMO44,1,2022-05-24,Hardwood,13
Effigy Mounds,EFMO45,1,2009-05-30,Hardwood,17.2
Effigy Mounds,EFMO45,1,2013-06-02,Hardwood,2
Effigy Mounds,EFMO45,1,2017-05-25,Hardwood,6
Effigy Mounds,EFMO45,1,2017-05-25,Total,6
Effigy Mounds,EFMO45,1,2022-05-23,Hardwood,7.7
Effigy Mounds,EFMO46,1,2009-05-30,Hardwood,18.3
Effigy Mounds,EFMO46,1,2013-06-02,Hardwood,33
Effigy Mounds,EFMO46,1,2017-05-25,Hardwood,26.5
Effigy Mounds,EFMO46,1,2017-05-25,Total,26.5
Effigy Mounds,EFMO46,1,2022-05-23,Hardwood,40.8
Effigy Mounds,EFMO47,1,2009-05-30,Hardwood,21.2
Effigy Mounds,EFMO47,1,2013-06-02,Hardwood,32
Effigy Mounds,EFMO47,1,2017-05-25,Hardwood,20
Effigy Mounds,EFMO47,1,2017-05-25,Total,20
Effigy Mounds,EFMO47,1,2022-05-23,Hardwood,30
Effigy Mounds,EFMO5,1,2009-06-01,Hardwood,18.6
Effigy Mounds,EFMO5,1,2013-05-31,Hardwood,22
Effigy Mounds,EFMO5,1,2017-05-24,Hardwood,23.5
Effigy Mounds,EFMO5,1,2022-05-26,Hardwood,27.2
Effigy Mounds,EFMO52,1,2009-05-30,Hardwood,39.6
Effigy Mounds,EFMO6,1,2017-05-24,Hardwood,28
Effigy Mounds,EFMO6,1,2017-05-24,Total,28
Effigy Mounds,EFMO8,1,2009-05-29,Hardwood,16.6
Effigy Mounds,EFMO8,1,2013-05-29,Hardwood,26
Effigy Mounds,EFMO8,1,2017-05-24,Hardwood,6.5
Effigy Mounds,EFMO8,1,2017-05-24,Total,6.5
Effigy Mounds,EFMO8,1,2022-05-25,Hardwood,36.5
Effigy Mounds,EFMO9,1,2009-05-29,Hardwood,31.6
Effigy Mounds,EFMO9,1,2013-05-29,Hardwood,21
Effigy Mounds,EFMO9,1,2017-05-24,Hardwood,27.5
Effigy Mounds,EFMO9,1,2017-05-24,Total,27.5
Effigy Mounds,EFMO9,1,2022-05-25,Hardwood,29.3
George Washington Carver,GWCA1,1,2008-05-28,Hardwood,11.9
George Washington Carver,GWCA1,1,2012-06-06,Hardwood,12.1
George Washington Carver,GWCA1,1,2016-05-18,Hardwood,17
George Washington Carver,GWCA1,1,2016-05-18,Conifer,0
George Washington Carver,GWCA1,1,2016-05-18,Total,17
George Washington Carver,GWCA1,1,2020-06-12,Hardwood,16
George Washington Carver,GWCA1,1,2020-06-12,Conifer,0
George Washington Carver,GWCA10,1,2016-05-18,Total,0
George Washington Carver,GWCA10,1,2020-06-10,Hardwood,0
George Washington Carver,GWCA10,1,2020-06-10,Conifer,0
George Washington Carver,GWCA11,1,2008-05-28,Hardwood,10.5
George Washington Carver,GWCA11,1,2012-06-06,Hardwood,12.7
George Washington Carver,GWCA11,1,2016-05-18,Hardwood,24
George Washington Carver,GWCA11,1,2016-05-18,Total,24
George Washington Carver,GWCA11,1,2020-06-12,Hardwood,9.5
George Washington Carver,GWCA11,1,2020-06-12,Conifer,2
George Washington Carver,GWCA12,1,2016-05-18,Total,0
George Washington Carver,GWCA12,1,2020-06-10,Hardwood,0
George Washington Carver,GWCA12,1,2020-06-10,Conifer,0
George Washington Carver,GWCA13,1,2016-05-18,Total,0
George Washington Carver,GWCA13,1,2020-06-10,Hardwood,0
George Washington Carver,GWCA13,1,2020-06-10,Conifer,0
George Washington Carver,GWCA14,1,2016-05-18,Total,0
George Washington Carver,GWCA14,1,2020-06-10,Hardwood,0
George Washington Carver,GWCA14,1,2020-06-10,Conifer,0
George Washington Carver,GWCA15,1,2016-05-18,Total,0
George Washington Carver,GWCA15,1,2020-06-10,Hardwood,0
George Washington Carver,GWCA15,1,2020-06-10,Conifer,0
George Washington Carver,GWCA16,1,2016-05-18,Total,0
George Washington Carver,GWCA16,1,2020-06-10,Hardwood,0
George Washington Carver,GWCA16,1,2020-06-10,Conifer,0
George Washington Carver,GWCA17,1,2016-05-18,Total,0
George Washington Carver,GWCA17,1,2020-06-10,Hardwood,0
George Washington Carver,GWCA17,1,2020-06-10,Conifer,0
George Washington Carver,GWCA18,1,2008-05-28,Hardwood,17.2
George Washington Carver,GWCA18,1,2012-06-05,Hardwood,17.4
George Washington Carver,GWCA18,1,2016-05-20,Hardwood,13.5
George Washington Carver,GWCA18,1,2016-05-20,Total,13.5
George Washington Carver,GWCA18,1,2020-06-12,Hardwood,17.5
George Washington Carver,GWCA18,1,2020-06-12,Conifer,3
George Washington Carver,GWCA19,1,2016-05-18,Total,0
George Washington Carver,GWCA19,1,2020-06-10,Hardwood,0
George Washington Carver,GWCA19,1,2020-06-10,Conifer,0
George Washington Carver,GWCA2,1,2008-05-28,Hardwood,7.1
George Washington Carver,GWCA2,1,2012-06-06,Hardwood,16.9
George Washington Carver,GWCA2,1,2016-05-18,Hardwood,10.5
George Washington Carver,GWCA2,1,2016-05-18,Total,10.5
George Washington Carver,GWCA2,1,2020-06-12,Hardwood,12
George Washington Carver,GWCA2,1,2020-06-12,Conifer,0
George Washington Carver,GWCA20,1,2016-05-18,Total,0
George Washington Carver,GWCA20,1,2020-06-10,Hardwood,0
George Washington Carver,GWCA20,1,2020-06-10,Conifer,0
George Washington Carver,GWCA21,1,2008-05-28,Hardwood,13
George Washington Carver,GWCA21,1,2012-06-06,Hardwood,13.4
George Washington Carver,GWCA21,1,2016-05-18,Hardwood,20
George Washington Carver,GWCA21,1,2016-05-18,Total,20
George Washington Carver,GWCA21,1,2020-06-10,Hardwood,3
George Washington Carver,GWCA21,1,2020-06-10,Conifer,0
George Washington Carver,GWCA22,1,2008-05-28,Hardwood,14.8
George Washington Carver,GWCA22,1,2012-06-05,Hardwood,22.1
George Washington Carver,GWCA22,1,2016-05-18,Hardwood,19
George Washington Carver,GWCA22,1,2016-05-18,Total,19
George Washington Carver,GWCA22,1,2020-06-10,Hardwood,0
George Washington Carver,GWCA22,1,2020-06-10,Conifer,0
George Washington Carver,GWCA23,1,2008-05-28,Hardwood,24.4
George Washington Carver,GWCA23,1,2012-06-04,Hardwood,21.9
George Washington Carver,GWCA23,1,2016-05-20,Hardwood,31.5
George Washington Carver,GWCA23,1,2016-05-20,Total,31.5
George Washington Carver,GWCA23,1,2020-06-12,Hardwood,15
George Washington Carver,GWCA23,1,2020-06-12,Conifer,0
George Washington Carver,GWCA24,1,2016-05-18,Total,0
George Washington Carver,GWCA24,1,2020-06-10,Hardwood,0
George Washington Carver,GWCA24,1,2020-06-10,Conifer,0
George Washington Carver,GWCA25,1,2016-05-18,Total,0
George Washington Carver,GWCA25,1,2020-06-10,Hardwood,0
George Washington Carver,GWCA25,1,2020-06-10,Conifer,0
George Washington Carver,GWCA26,1,2008-05-29,Hardwood,18.3
George Washington Carver,GWCA26,1,2012-06-06,Hardwood,19.6
George Washington Carver,GWCA26,1,2016-05-18,Hardwood,26
George Washington Carver,GWCA26,1,2016-05-18,Total,26
George Washington Carver,GWCA26,1,2020-06-11,Hardwood,20
George Washington Carver,GWCA26,1,2020-06-11,Conifer,0
George Washington Carver,GWCA27,1,2008-05-29,Hardwood,22.2
George Washington Carver,GWCA27,1,2012-06-06,Hardwood,19.5
George Washington Carver,GWCA27,1,2016-06-09,Hardwood,31
George Washington Carver,GWCA27,1,2016-06-09,Total,31
George Washington Carver,GWCA27,1,2020-06-11,Hardwood,13
George Washington Carver,GWCA27,1,2020-06-11,Conifer,0
George Washington Carver,GWCA28,1,2008-05-28,Hardwood,25.9
George Washington Carver,GWCA28,1,2012-06-04,Hardwood,21.9
George Washington Carver,GWCA28,1,2016-05-20,Hardwood,14.5
George Washington Carver,GWCA28,1,2016-05-20,Total,14.5
George Washington Carver,GWCA28,1,2020-06-12,Hardwood,24
George Washington Carver,GWCA28,1,2020-06-12,Conifer,0
George Washington Carver,GWCA29,1,2008-05-28,Hardwood,12.2
George Washington Carver,GWCA29,1,2012-06-05,Conifer,4.7
George Washington Carver,GWCA29,1,2012-06-05,Hardwood,19.7
George Washington Carver,GWCA29,1,2016-05-20,Hardwood,16.2
George Washington Carver,GWCA29,1,2016-05-20,Conifer,4.25
George Washington Carver,GWCA29,1,2016-05-20,Total,16.2
George Washington Carver,GWCA29,1,2020-06-10,Hardwood,18
George Washington Carver,GWCA29,1,2020-06-10,Conifer,4
George Washington Carver,GWCA3,1,2016-05-18,Total,0
George Washington Carver,GWCA3,1,2020-06-10,Hardwood,0
George Washington Carver,GWCA3,1,2020-06-10,Conifer,0
George Washington Carver,GWCA30,1,2008-05-28,Hardwood,18.8
George Washington Carver,GWCA30,1,2012-06-05,Hardwood,18
George Washington Carver,GWCA30,1,2016-05-20,Hardwood,22
George Washington Carver,GWCA30,1,2016-05-20,Total,22
George Washington Carver,GWCA30,1,2020-06-10,Hardwood,15
George Washington Carver,GWCA30,1,2020-06-10,Conifer,0
George Washington Carver,GWCA31,1,2016-05-18,Total,0
George Washington Carver,GWCA31,1,2020-06-09,Hardwood,0
George Washington Carver,GWCA31,1,2020-06-09,Conifer,0
George Washington Carver,GWCA32,1,2008-05-29,Hardwood,8.7
George Washington Carver,GWCA32,1,2012-06-06,Hardwood,9.2
George Washington Carver,GWCA32,1,2016-05-18,Hardwood,9.5
George Washington Carver,GWCA32,1,2016-05-18,Total,9.5
George Washington Carver,GWCA32,1,2020-06-08,Hardwood,0
George Washington Carver,GWCA32,1,2020-06-08,Conifer,0
George Washington Carver,GWCA33,1,2008-05-29,Hardwood,19.8
George Washington Carver,GWCA33,1,2012-06-06,Hardwood,18.7
George Washington Carver,GWCA33,1,2016-05-20,Hardwood,16.5
George Washington Carver,GWCA33,1,2016-05-20,Total,16.5
George Washington Carver,GWCA33,1,2020-06-11,Hardwood,19
George Washington Carver,GWCA33,1,2020-06-11,Conifer,0
George Washington Carver,GWCA34,1,2008-05-27,Hardwood,25.2
George Washington Carver,GWCA34,1,2012-06-04,Hardwood,24.9
George Washington Carver,GWCA34,1,2016-05-20,Hardwood,18.5
George Washington Carver,GWCA34,1,2016-05-20,Total,18.5
George Washington Carver,GWCA34,1,2020-06-11,Hardwood,8
George Washington Carver,GWCA34,1,2020-06-11,Conifer,0
George Washington Carver,GWCA35,1,2008-05-27,Hardwood,23.9
George Washington Carver,GWCA35,1,2012-06-04,Hardwood,21.8
George Washington Carver,GWCA35,1,2016-05-20,Hardwood,18.5
George Washington Carver,GWCA35,1,2016-05-20,Total,18.5
George Washington Carver,GWCA35,1,2020-06-11,Hardwood,24
George Washington Carver,GWCA35,1,2020-06-11,Conifer,0
George Washington Carver,GWCA36,1,2016-05-18,Total,0
George Washington Carver,GWCA36,1,2020-06-09,Hardwood,0
George Washington Carver,GWCA36,1,2020-06-09,Conifer,0
George Washington Carver,GWCA37,1,2008-05-29,Hardwood,25.5
George Washington Carver,GWCA37,1,2012-06-06,Hardwood,21.4
George Washington Carver,GWCA37,1,2016-05-20,Hardwood,21
George Washington Carver,GWCA37,1,2016-05-20,Total,21
George Washington Carver,GWCA37,1,2020-06-11,Hardwood,11
George Washington Carver,GWCA37,1,2020-06-11,Conifer,0
George Washington Carver,GWCA38,1,2012-06-04,Hardwood,6
George Washington Carver,GWCA38,1,2016-05-20,Hardwood,10
George Washington Carver,GWCA38,1,2016-05-20,Total,10
George Washington Carver,GWCA38,1,2020-06-09,Hardwood,0
George Washington Carver,GWCA38,1,2020-06-09,Conifer,0
George Washington Carver,GWCA39,1,2008-05-27,Hardwood,25.8
George Washington Carver,GWCA39,1,2012-06-04,Hardwood,22.3
George Washington Carver,GWCA39,1,2016-05-20,Hardwood,16.5
George Washington Carver,GWCA39,1,2016-05-20,Total,16.5
George Washington Carver,GWCA39,1,2020-06-11,Hardwood,0
George Washington Carver,GWCA39,1,2020-06-11,Conifer,0
George Washington Carver,GWCA4,1,2016-05-18,Total,0
George Washington Carver,GWCA4,1,2020-06-10,Hardwood,0
George Washington Carver,GWCA4,1,2020-06-10,Conifer,0
George Washington Carver,GWCA40,1,2008-05-27,Hardwood,14.5
George Washington Carver,GWCA40,1,2012-06-04,Hardwood,17.6
George Washington Carver,GWCA40,1,2016-05-20,Hardwood,20
George Washington Carver,GWCA40,1,2016-05-20,Total,20
George Washington Carver,GWCA40,1,2020-06-11,Hardwood,17
George Washington Carver,GWCA40,1,2020-06-11,Conifer,0
George Washington Carver,GWCA41,1,2016-05-20,Total,0
