TaxonCode,TSN,Taxon,Phylum,Class,Order,Family,Subfamily,Genus,ToleranceValue,FunctionalFeedingGroupCode,FunctionalFeedingGroupDesc
EPHEAT,101338,Attenella,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Attenella,2.6,C,Collectors
EPHESE,101395,Serratella,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,Serratella,2.1,C,Collectors
LEPTTR,101405,Tricorythodes,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,,Tricorythodes,5.4,C,Collectors
CAENCA,101478,Caenis,Arthropoda,Insecta,Ephemeroptera,Caenidae,,Caenis,7.6,C,Collectors
CAENCA,101478,Caenis,Arthropoda,Insecta,Ephemeroptera,Caenidae,,Caenis,7.6,Sc,Scrapers
BATCBA,101494,Baetisca,Arthropoda,Insecta,Ephemeroptera,Baetiscidae,,Baetisca,1.4,Sc,Scrapers
BATCBA,101494,Baetisca,Arthropoda,Insecta,Ephemeroptera,Baetiscidae,,Baetisca,1.4,C,Collectors
EPHEEH,101526,Ephemera,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,Ephemera,1.1,C,Collectors
EPHEEH,101526,Ephemera,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,Ephemera,1.1,Pr,Predators
EPHEHE,101537,Hexagenia,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,Hexagenia,4.7,C,Collectors
ODON,101593,Odonata,Arthropoda,Insecta,Odonata,,,,,Pr,Predators
AESHBO,101645,Boyeria,Arthropoda,Insecta,Odonata,Aeshnidae,,Boyeria,6.3,Pr,Predators
GOMP,101664,Gomphidae,Arthropoda,Insecta,Odonata,Gomphidae,,,5.3,Pr,Predators
GOMPDR,101730,Dromogomphus,Arthropoda,Insecta,Odonata,Gomphidae,,Dromogomphus,6.3,Pr,Predators
GOMPHA,101734,Hagenius,Arthropoda,Insecta,Odonata,Gomphidae,,Hagenius,4,Pr,Predators
GOMPOP,101738,Ophiogomphus,Arthropoda,Insecta,Odonata,Gomphidae,,Ophiogomphus,6.2,Pr,Predators
GOMPST,101761,Stylogomphus,Arthropoda,Insecta,Odonata,Gomphidae,,Stylogomphus,4.8,Pr,Predators
GOMPGM,101777,Gomphurus,Arthropoda,Insecta,Odonata,Gomphidae,,Gomphurus,6.2,Pr,Predators
LIBE,101797,Libellulidae,Arthropoda,Insecta,Odonata,Libellulidae,,,9,Pr,Predators
LIBELI,101893,Libellula,Arthropoda,Insecta,Odonata,Libellulidae,,Libellula,9.8,Pr,Predators
MACRMA,101918,Macromia,Arthropoda,Insecta,Odonata,Macromiidae,,Macromia,6.7,Pr,Predators
CALOHE,102048,Hetaerina,Arthropoda,Insecta,Odonata,Calopterygidae,,Hetaerina,6.2,Pr,Predators
CALOCA,102052,Calopteryx,Arthropoda,Insecta,Odonata,Calopterygidae,,Calopteryx,8.3,Pr,Predators
LESTLE,102061,Lestes,Arthropoda,Insecta,Odonata,Lestidae,,Lestes,6,Pr,Predators
COEN,102077,Coenagrionidae,Arthropoda,Insecta,Odonata,Coenagrionidae,,,6.1,Pr,Predators
COENIS,102078,Ischnura,Arthropoda,Insecta,Odonata,Coenagrionidae,,Ischnura,9.4,Pr,Predators
COENEN,102102,Enallagma,Arthropoda,Insecta,Odonata,Coenagrionidae,,Enallagma,9,Pr,Predators
COENAR,102139,Argia,Arthropoda,Insecta,Odonata,Coenagrionidae,,Argia,5.1,Pr,Predators
PTERPT,102471,Pteronarcys,Arthropoda,Insecta,Plecoptera,Pteronarcyidae,,Pteronarcys,1.7,Sh,Shredders
NEMO,102517,Nemouridae,Arthropoda,Insecta,Plecoptera,Nemouridae,,,2,Sh,Shredders
NEMO,102517,Nemouridae,Arthropoda,Insecta,Plecoptera,Nemouridae,,,2,Sc,Scrapers
NEMOAM,102540,Amphinemura,Arthropoda,Insecta,Plecoptera,Nemouridae,,Amphinemura,3.4,Sh,Shredders
NEMOPR,102584,Prostoia,Arthropoda,Insecta,Plecoptera,Nemouridae,,Prostoia,6.1,Sh,Shredders
NEMOPR,102584,Prostoia,Arthropoda,Insecta,Plecoptera,Nemouridae,,Prostoia,6.1,Sc,Scrapers
CAPNAL,102644,Allocapnia,Arthropoda,Insecta,Plecoptera,Capniidae,,Allocapnia,2.8,Sh,Shredders
TAEN,102788,Taeniopterygidae,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,,,2,C,Collectors
TAEN,102788,Taeniopterygidae,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,,,2,Sh,Shredders
TAENTA,102789,Taeniopteryx,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,,Taeniopteryx,2,C,Collectors
TAENTA,102789,Taeniopteryx,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,,Taeniopteryx,2,Sh,Shredders
CAPNPA,102804,Paracapnia,Arthropoda,Insecta,Plecoptera,Capniidae,,Paracapnia,0.2,Sh,Shredders
TAENST,102808,Strophopteryx,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,,Strophopteryx,2.5,Sh,Shredders
LEUC,102840,Leuctridae,Arthropoda,Insecta,Plecoptera,Leuctridae,,,0,Sh,Shredders
LEUCLE,102844,Leuctra,Arthropoda,Insecta,Plecoptera,Leuctridae,,Leuctra,0.7,Sh,Shredders
LEUCZE,102900,Zealeuctra,Arthropoda,Insecta,Plecoptera,Leuctridae,,Zealeuctra,0,Sh,Shredders
PERL,102914,Perlidae,Arthropoda,Insecta,Plecoptera,Perlidae,,,1,C,Collectors
PERL,102914,Perlidae,Arthropoda,Insecta,Plecoptera,Perlidae,,,1,Pr,Predators
PERLAC,102917,Acroneuria,Arthropoda,Insecta,Plecoptera,Perlidae,,Acroneuria,1.5,Pr,Predators
PERLNE,102942,Neoperla,Arthropoda,Insecta,Plecoptera,Perlidae,,Neoperla,1.6,Pr,Predators
PERLPA,102962,Paragnetina,Arthropoda,Insecta,Plecoptera,Perlidae,,Paragnetina,1.8,Pr,Predators
PERLAG,102975,Agnetina,Arthropoda,Insecta,Plecoptera,Perlidae,,Agnetina,0,Pr,Predators
PERO,102994,Perlodidae,Arthropoda,Insecta,Plecoptera,Perlodidae,,,2,Pr,Predators
PEROIS,102995,Isoperla,Arthropoda,Insecta,Plecoptera,Perlodidae,,Isoperla,3.2,Pr,Predators
PEROIS,102995,Isoperla,Arthropoda,Insecta,Plecoptera,Perlodidae,,Isoperla,3.2,C,Collectors
PEROHE,103084,Helopicus,Arthropoda,Insecta,Plecoptera,Perlodidae,,Helopicus,0.4,Pr,Predators
PEROHY,103106,Hydroperla,Arthropoda,Insecta,Plecoptera,Perlodidae,,Hydroperla,2.75,Pr,Predators
PEROCL,103118,Clioperla,Arthropoda,Insecta,Plecoptera,Perlodidae,,Clioperla,4.8,Pr,Predators
CHLO,103202,Chloroperlidae,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,,1,C,Collectors
CHLO,103202,Chloroperlidae,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,,1,Pr,Predators
CHLOAL,103203,Alloperla,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,Alloperla,1.4,Pr,Predators
PERLPR,103244,Perlinella,Arthropoda,Insecta,Plecoptera,Perlidae,,Perlinella,0,Pr,Predators
PERLPE,103251,Perlesta,Arthropoda,Insecta,Plecoptera,Perlidae,,Perlesta,0,Pr,Predators
PERLPE,103251,Perlesta,Arthropoda,Insecta,Plecoptera,Perlidae,,Perlesta,0,C,Collectors
CHLOHA,103260,Haploperla,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,Haploperla,1.3,Pr,Predators
