ParkName,ParkCode,Season,LocationID,EventID,Units,DischargeNo,DistanceFromBank_m,Depth_cm,Velocity_ms,Comments,DETimeStamp
Buffalo National River,BUFF,2006,BUFFRMINVEBM03,BUFFRMINVE2007FEB21,meters,9,32,24,1.15,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM03,BUFFRMINVE2007FEB21,meters,10,36,50,1.07,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,1,0,0,0,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,2,3,18,0.46,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,3,6,18,0.09,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,4,9,22,0.61,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,5,12,38,0.7,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,6,15,50,0.7,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,7,18,56,1.05,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,8,21,74,0.88,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,9,24,76,0.8,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,10,27,69,0.78,,10/5/2020 11:46
Buffalo National River,BUFF,2006,BUFFRMINVEBM04,BUFFRMINVE2007FEB09,meters,11,30,64,0.82,,10/5/2020 11:46
