ParkName,ParkCode,Season,LocationID,EventID,Units,GaugeSiteNo,GaugeLocation,Discharge_cms,Comments,DETimeStamp
Ozark National Scenic Riverways - RIVERS,OZAR,2014,OZARRMINVECM02,OZARRMINVE2014Nov13,meters,7064533,"Current River above Akers, MO ",4.44,Akers (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2014,OZARRMINVECM03,OZARRMINVE2014Nov12,meters,7064533,"Current River above Akers, MO ",4.44,Akers (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2014,OZARRMINVECM04,OZARRMINVE2014Nov19,meters,7067000,"Current River at Van Buren, MO ",23.08,Van Buren (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2014,OZARRMINVECM05,OZARRMINVE2014Nov19,meters,7067000,"Current River at Van Buren, MO ",23.08,Van Buren (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2014,OZARRMINVECM06,OZARRMINVE2014Nov18,meters,14134500,"Current River + Big Spring at/near Van Buren, MO ",31.8,Van Buren + Big Spring (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2014,OZARRMINVEJM01,OZARRMINVE2014Nov05,meters,7065200,"Jacks Fork near Mountain View, MO ",1.73,Mtn. View (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2014,OZARRMINVEJM02,OZARRMINVE2014Nov05,meters,7065200,"Jacks Fork near Mountain View, MO ",1.73,Mtn. View (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2014,OZARRMINVEJM03,OZARRMINVE2014Nov06,meters,7065200,"Jacks Fork near Mountain View, MO ",1.84,Mtn. View (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2016,OZARRMINVECM01,OZARRMINVE2016Nov09,meters,7064440,"Current River at Montauk State Park, MO ",2.38,Montauk (cms),10/8/2020 15:29
Ozark National Scenic Riverways - RIVERS,OZAR,2016,OZARRMINVECM02,OZARRMINVE2016Nov04,meters,7064533,"Current River above Akers, MO ",6.94,Akers (cms),10/8/2020 15:29
