ParkName,ParkCode,LocationID,PeriodID,EventID,ChannelType,ChannelTypeDescr,SiteNumber,TransectNumber,SampleLocation,SampleLocationDescr,ChannelUnit,ChannelUnitDescr,PoolForm,Width_m,Depth_cm,Velocity_ms,DomSubstrate,WentworthSubstrateDescr,WentworthMidpoint,Embeddedness,EmbedCanCoverDescrb,ECC_MidpoinValueb,CanopyCover,EmbedCanCoverDescr,ECC_MidpoinValue,Comment
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2010May17,BUFFRMFish2010May26,main,The channel that contains the majority of flow,1,6,R,Right,RRX,Riffle-Run Complex,N/A,40.00,75,1.01,11,11.3-16 mm,13.65,2,Moderate (10-40%),25.00,2,Moderate (10-40%),25.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2010May17,BUFFRMFish2010May26,main,The channel that contains the majority of flow,1,7,R,Right,PO,Pool,M,32.00,91,0.18,10,8-11.3 mm,9.65,3,Heavy (40-75%),57.50,3,Heavy (40-75%),57.50,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2010May17,BUFFRMFish2010May26,main,The channel that contains the majority of flow,1,9,M,Middle,PO,Pool,F,25.00,168,0.41,23,1024 -4096 mm,2560.00,1,Sparse (<10%),5.00,1,Sparse (<10%),5.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,main,The channel that contains the majority of flow,1,2,R,Right,PO,Pool,L,38.00,90,0.10,15,45-64 mm,54.50,2,Moderate (10-40%),25.00,2,Moderate (10-40%),25.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,main,The channel that contains the majority of flow,1,4,M,Middle,PO,Pool,L,30.50,160,0.07,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,main,The channel that contains the majority of flow,1,4,R,Right,PO,Pool,L,30.50,98,0.25,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,main,The channel that contains the majority of flow,1,8,L,Left,PO,Pool,M,28.00,200,0.10,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,Over 200 cm depth
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2013May20,BUFFRMFish2013May28,main,The channel that contains the majority of flow,1,8,M,Middle,PO,Pool,M,28.00,200,0.05,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,Over 200 cm depth
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,main,The channel that contains the majority of flow,1,3,L,Left,RU,Run/Race,N/A,27.50,136,0.11,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,main,The channel that contains the majority of flow,1,4,L,Left,PO,Pool,M,35.50,200,0.07,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,main,The channel that contains the majority of flow,1,6,R,Right,RU,Run/Race,N/A,38.00,128,0.46,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,main,The channel that contains the majority of flow,1,7,R,Right,GL,Glide,N/A,28.00,126,0.33,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,main,The channel that contains the majority of flow,1,8,R,Right,PO,Pool,F,33.00,130,0.02,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,main,The channel that contains the majority of flow,1,10,L,Left,PO,Pool,F,29.00,178,0.17,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFrmfish2015May22,BUFFrmfish2015Jun09,main,The channel that contains the majority of flow,1,11,L,Left,RU,Run/Race,N/A,29.00,118,0.57,16,64-90 mm,77.00,1,Sparse (<10%),5.00,1,Sparse (<10%),5.00,
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,main,The channel that contains the majority of flow,1,5,M,Middle,RU,Run/Race,N/A,17.20,100,0.46,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,depth >100cm
Buffalo National River,BUFF,BUFFRMFISHBM02,BUFFRMFISH2017May24,BUFFRMFISH2017Jun01,main,The channel that contains the majority of flow,1,8,L,Left,PO,Pool,F,20.40,130,0.31,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
